symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,sharpe_ratio,annual_return
1000000BABYDOGEUSDT,240,6.0,0.006800575892857145,0.018029708035714288,0.039767140344073804,0.04080345535714285,0.10817824821428572,0.23860284206444282,0.538195,1120,1013,107,90.44642857142857,0.013726514313919053,-0.05876928971962619,2024-06-11 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.4533820606590616,16.05595221302394
1000000CHEEMSUSDT,240,6.0,0.009673747980613894,0.010405250403877223,0.013220301377519169,0.05804248788368335,0.06243150242326332,0.079321808265115,0.22843899999999998,619,610,9,98.54604200323102,0.010187622950819673,-0.025155555555555553,2024-11-25 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.7870660514268699,23.58927971495275
1000000MOGUSDT,240,6.0,0.006875880494505496,0.015326921703296706,0.05656132411605701,0.041255282967032965,0.09196153021978022,0.33936794469634207,1.711204,1456,1368,88,93.95604395604396,0.011815526315789474,-0.06991315909090909,2024-05-16 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.2709788347926175,16.247427581078377
1000000PEIPEIUSDT,480,3.0,0.017703243928194296,0.02495522914466737,0.059573026813993735,0.0531097317845829,0.07486568743400211,0.17871908044198123,1.31027,947,917,30,96.83210137275607,0.022027030534351146,-0.11446049999999997,2024-07-04 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.4189014807420423,21.385234997668846
10000COQUSDT,480,3.0,0.0074660279286268465,0.02261320868890613,0.05524187036228446,0.022398083785880523,0.06783962606671838,0.1657256110868534,0.7582639999999999,1289,1174,115,91.07835531419705,0.01651283475298126,-0.08489006956521741,2024-03-12 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.409349077802857,8.51778077017109
10000ELONUSDT,240,6.0,-0.005390880281690141,0.01344066197183099,0.03916145285202315,-0.03234528169014084,0.08064397183098591,0.23496871711213896,0.698543,568,463,105,81.51408450704226,0.004937663066954644,-0.05093483809523809,2025-02-10 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.34321152544105915,-11.13744855033094
10000LADYSUSDT,480,3.0,0.016887829787234045,0.019290904255319152,0.03946666458653992,0.050663489361702126,0.05787271276595744,0.11839999375961975,0.961977,1504,1482,22,98.5372340425532,0.01835790013495277,-0.08214145454545455,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.4887898295286473,20.30679366412511
10000QUBICUSDT,480,3.0,0.018426490654205607,0.018766280373831774,0.023780107838243865,0.05527947196261681,0.05629884112149531,0.07134032351473159,0.19735999999999998,428,426,2,99.53271028037383,0.01868369248826291,-0.0363575,2024-12-24 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.7891587582984502,22.34984346447295
10000SATSUSDT,240,6.0,0.012901558457711442,0.015569978855721395,0.02235140316215189,0.07740935074626866,0.09341987313432835,0.13410841897291134,0.223413,1608,1454,154,90.4228855721393,0.01574354607977992,-0.013931233766233765,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.696599615816799,32.63553321620209
10000WENUSDT,480,3.0,0.017692401558073653,0.026398295325779038,0.08323291474505566,0.05307720467422096,0.0791948859773371,0.24969874423516697,1.552116,1412,1405,7,99.5042492917847,0.022155182918149472,-0.8780515714285713,2024-01-31 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.3171617311088723,21.370832164717424
10000WHYUSDT,240,6.0,0.01471189806451613,0.016633508387096773,0.023844504398259983,0.08827138838709675,0.09980105032258065,0.1430670263895599,0.211018,775,762,13,98.3225806451613,0.01594008530183727,-0.05727876923076924,2024-10-04 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.6975824747404094,37.99516332644153
1000APUUSDT,480,3.0,0.01038222446916077,0.020711828109201212,0.04647772500941475,0.031146673407482305,0.06213548432760365,0.13943317502824426,0.767396,989,937,52,94.74216380182003,0.016409828175026682,-0.0982305576923077,2024-06-20 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.4456291289000425,12.037971265871072
1000BONKPERP,480,3.0,0.0065945496031746065,0.011485839285714287,0.01527346200986922,0.019783648809523807,0.03445751785714286,0.04582038602960766,0.19747499999999998,504,462,42,91.66666666666666,0.009862030303030305,-0.029347738095238097,2024-11-29 08:00:00+00:00,2025-05-16 00:00:00+00:00,0.7520128231760753,7.4873710612873845
1000BONKUSDT,240,6.0,0.012855683815648444,0.014603420150053592,0.026270790272645086,0.07713410289389068,0.08762052090032155,0.15762474163587048,0.315932,1866,1654,212,88.63879957127546,0.015489325272067714,-0.0076916886792452845,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.5558805044878935,32.50245000773
1000BTTUSDT,480,3.0,-0.020719380319148935,0.04712870478723404,0.07789221244670924,-0.0621581409574468,0.14138611436170212,0.2336766373401277,0.6033000000000001,1504,853,651,56.715425531914896,0.02328231184056272,-0.07837443932411675,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6050502779013709,-20.303758154116313
1000CATSUSDT,480,3.0,-0.007878182795698926,0.03963359907834102,0.17459737707354575,-0.023634548387096763,0.11890079723502307,0.5237921312206373,3.0,651,624,27,95.85253456221197,0.01656472435897436,-0.5727809259259259,2024-10-11 08:00:00+00:00,2025-05-16 00:00:00+00:00,0.22699996839956044,-8.265926276991298
1000CATUSDT,240,6.0,0.011600893345487695,0.01261909936189608,0.02048482982217674,0.06960536007292617,0.07571459617137648,0.12290897893306042,0.17918800000000001,1097,1055,42,96.17137648131268,0.012592100473933651,-0.013297285714285713,2024-09-13 08:00:00+00:00,2025-05-16 00:00:00+00:00,0.6160216839211781,28.913465826797747
1000FLOKIUSDT,480,3.0,0.010877847074468086,0.02187516489361702,0.06626555878303772,0.03263354122340426,0.06562549468085106,0.19879667634911316,1.850472,1504,1264,240,84.04255319148936,0.01948596914556962,-0.0344582625,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.33011364116371866,12.647466924399042
1000LUNCUSDT,480,3.0,0.010618470079787234,0.01659668550531915,0.024650480217145814,0.03185541023936171,0.04979005651595744,0.07395144065143745,0.236311,1504,1222,282,81.25,0.01674778805237316,-0.01594190780141844,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6732804131651441,12.32808480550851
1000MUMUUSDT,480,3.0,0.03850386241134751,0.039581482269503546,0.05614944714573988,0.11551158723404258,0.11874444680851065,0.16844834143721962,0.34335,705,702,3,99.57446808510639,0.039209521367521365,-0.12662033333333333,2024-09-23 08:00:00+00:00,2025-05-16 00:00:00+00:00,0.704930934881104,52.405412594907055
