symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
1000000BABYDOGEUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
1000000CHEEMSUSDT,240,6.0,0.005084625,0.005084625,0.0004787112908632927,0.03050775,0.03050775,0.002872267745179756,0.0077080000000000004,0.046248000000000004,32,32,0,100.0,0.005084625,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 08:00:00+00:00,0.0077080000000000004,10.621485427741948,11.777075583843422
1000000MOGUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
1000000PEIPEIUSDT,480,3.0,0.046027625,0.046027625,0.053932516537953855,0.138082875,0.138082875,0.16179754961386156,0.18851199999999999,0.565536,16,16,0,100.0,0.046027625,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-12 16:00:00+00:00,0.18851199999999999,0.853429951995825,65.47581135241518
10000COQUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
10000ELONUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
10000LADYSUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
10000QUBICUSDT,480,3.0,0.02838775,0.02838775,0.023220849566714826,0.08516325,0.08516325,0.06966254870014447,0.084742,0.254226,16,16,0,100.0,0.02838775,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-13 00:00:00+00:00,0.084742,1.222511257326756,36.43983665687127
10000SATSUSDT,240,6.0,-0.0007087187499999997,0.00852121875,0.017632883161745445,-0.0042523125,0.051127312499999994,0.10579729897047269,0.088277,0.529662,32,25,7,78.125,0.005,-0.021096999999999998,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 04:00:00+00:00,-0.088277,0.4832572570143713,-1.5401436506482624
10000WENUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
10000WHYUSDT,240,6.0,0.010939437500000001,0.010939437500000001,0.012417201588372893,0.065636625,0.065636625,0.07450320953023737,0.046093,0.276558,32,32,0,100.0,0.010939437500000001,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 12:00:00+00:00,0.046093,0.8809905695856118,27.060744795825563
1000APUUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
