symbol,fundingRate,fundingRateTimestamp
1000000PEIPEIUSDT,0.0001,2024-07-04 16:00:00+0000
1000000PEIPEIUSDT,-0.00144909,2024-07-05 00:00:00+0000
1000000PEIPEIUSDT,-0.00239525,2024-07-05 08:00:00+0000
1000000PEIPEIUSDT,-0.0004133,2024-07-05 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-06 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-06 08:00:00+0000
1000000PEIPEIUSDT,-0.00032264,2024-07-06 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-07 00:00:00+0000
1000000PEIPEIUSDT,0.0001437,2024-07-07 08:00:00+0000
1000000PEIPEIUSDT,0.00075259,2024-07-07 16:00:00+0000
1000000PEIPEIUSDT,6.717e-05,2024-07-08 00:00:00+0000
1000000PEIPEIUSDT,-0.0131027,2024-07-08 08:00:00+0000
1000000PEIPEIUSDT,0.00053056,2024-07-08 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-09 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-09 08:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-09 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-10 00:00:00+0000
1000000PEIPEIUSDT,-0.00199987,2024-07-10 08:00:00+0000
1000000PEIPEIUSDT,-0.0053195,2024-07-10 16:00:00+0000
1000000PEIPEIUSDT,-0.00137419,2024-07-11 00:00:00+0000
1000000PEIPEIUSDT,-0.00117803,2024-07-11 08:00:00+0000
1000000PEIPEIUSDT,-0.00110694,2024-07-11 16:00:00+0000
1000000PEIPEIUSDT,-0.00102284,2024-07-12 00:00:00+0000
1000000PEIPEIUSDT,-0.00035478,2024-07-12 08:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-12 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-13 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-13 08:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-13 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-14 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-14 08:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-14 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-15 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-15 08:00:00+0000
1000000PEIPEIUSDT,0.00076043,2024-07-15 16:00:00+0000
1000000PEIPEIUSDT,0.00063242,2024-07-16 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-16 08:00:00+0000
1000000PEIPEIUSDT,0.00015233,2024-07-16 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-17 00:00:00+0000
1000000PEIPEIUSDT,0.00081563,2024-07-17 08:00:00+0000
1000000PEIPEIUSDT,0.00051757,2024-07-17 16:00:00+0000
1000000PEIPEIUSDT,0.00025397,2024-07-18 00:00:00+0000
1000000PEIPEIUSDT,0.00098077,2024-07-18 08:00:00+0000
1000000PEIPEIUSDT,0.00076755,2024-07-18 16:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-19 00:00:00+0000
1000000PEIPEIUSDT,0.0001,2024-07-19 08:00:00+0000
1000000PEIPEIUSDT,0.00022329,2024-07-19 16:00:00+0000
