symbol,fundingRate,fundingRateTimestamp
ACHUSDT,0.0001,2023-01-01 00:00:00+0000
ACHUSDT,0.00057644,2023-01-01 08:00:00+0000
ACHUSDT,-0.00018925,2023-01-01 16:00:00+0000
ACHUSDT,-0.00017846,2023-01-02 00:00:00+0000
ACHUSDT,-0.00102168,2023-01-02 08:00:00+0000
ACHUSDT,-0.0003745,2023-01-02 16:00:00+0000
ACHUSDT,0.0001,2023-01-03 00:00:00+0000
ACHUSDT,0.0001,2023-01-03 08:00:00+0000
ACHUSDT,-0.00047758,2023-01-03 16:00:00+0000
ACHUSDT,-0.00085086,2023-01-04 00:00:00+0000
ACHUSDT,-0.00015918,2023-01-04 08:00:00+0000
ACHUSDT,0.0001,2023-01-04 16:00:00+0000
ACHUSDT,-2.818e-05,2023-01-05 00:00:00+0000
ACHUSDT,-0.00023026,2023-01-05 08:00:00+0000
ACHUSDT,-4.733e-05,2023-01-05 16:00:00+0000
ACHUSDT,0.0001,2023-01-06 00:00:00+0000
ACHUSDT,0.0001,2023-01-06 08:00:00+0000
ACHUSDT,-0.00012551,2023-01-06 16:00:00+0000
ACHUSDT,2.448e-05,2023-01-07 00:00:00+0000
ACHUSDT,0.0001,2023-01-07 08:00:00+0000
ACHUSDT,0.0001,2023-01-07 16:00:00+0000
ACHUSDT,0.0001,2023-01-08 00:00:00+0000
ACHUSDT,0.0001,2023-01-08 08:00:00+0000
ACHUSDT,2.389e-05,2023-01-08 16:00:00+0000
ACHUSDT,-0.0001325,2023-01-09 00:00:00+0000
ACHUSDT,0.0003198,2023-01-09 08:00:00+0000
ACHUSDT,0.00070368,2023-01-09 16:00:00+0000
ACHUSDT,0.0001,2023-01-10 00:00:00+0000
ACHUSDT,4.308e-05,2023-01-10 08:00:00+0000
ACHUSDT,-0.00035416,2023-01-10 16:00:00+0000
ACHUSDT,0.00030746,2023-01-11 00:00:00+0000
ACHUSDT,0.0004345,2023-01-11 08:00:00+0000
ACHUSDT,0.0001,2023-01-11 16:00:00+0000
ACHUSDT,0.0001,2023-01-12 00:00:00+0000
ACHUSDT,5.358e-05,2023-01-12 08:00:00+0000
ACHUSDT,0.0001,2023-01-12 16:00:00+0000
ACHUSDT,0.0001,2023-01-13 00:00:00+0000
ACHUSDT,0.0001,2023-01-13 08:00:00+0000
ACHUSDT,0.00086672,2023-01-13 16:00:00+0000
ACHUSDT,0.00030841,2023-01-14 00:00:00+0000
ACHUSDT,0.0001,2023-01-14 08:00:00+0000
ACHUSDT,-0.00070143,2023-01-14 16:00:00+0000
ACHUSDT,0.0001,2023-01-15 00:00:00+0000
ACHUSDT,0.0001,2023-01-15 08:00:00+0000
ACHUSDT,2.724e-05,2023-01-15 16:00:00+0000
ACHUSDT,0.0001,2023-01-16 00:00:00+0000
ACHUSDT,0.0002392,2023-01-16 08:00:00+0000
ACHUSDT,-0.00473393,2023-01-16 16:00:00+0000
ACHUSDT,-0.00647687,2023-01-17 00:00:00+0000
ACHUSDT,-0.00324883,2023-01-17 08:00:00+0000
ACHUSDT,0.00048265,2023-01-17 16:00:00+0000
ACHUSDT,0.00029082,2023-01-18 00:00:00+0000
ACHUSDT,0.0001,2023-01-18 08:00:00+0000
ACHUSDT,0.0001,2023-01-18 16:00:00+0000
ACHUSDT,0.0001,2023-01-19 00:00:00+0000
ACHUSDT,0.00013216,2023-01-19 08:00:00+0000
ACHUSDT,0.0001,2023-01-19 16:00:00+0000
ACHUSDT,0.00014963,2023-01-20 00:00:00+0000
ACHUSDT,0.0001,2023-01-20 08:00:00+0000
ACHUSDT,0.0001,2023-01-20 16:00:00+0000
ACHUSDT,0.0001,2023-01-21 00:00:00+0000
ACHUSDT,0.0001,2023-01-21 08:00:00+0000
ACHUSDT,0.0001,2023-01-21 16:00:00+0000
ACHUSDT,0.0001,2023-01-22 00:00:00+0000
ACHUSDT,0.0001,2023-01-22 08:00:00+0000
ACHUSDT,0.0001,2023-01-22 16:00:00+0000
ACHUSDT,0.0001,2023-01-23 00:00:00+0000
ACHUSDT,0.00078823,2023-01-23 08:00:00+0000
ACHUSDT,0.0001,2023-01-23 16:00:00+0000
ACHUSDT,0.0001,2023-01-24 00:00:00+0000
ACHUSDT,0.0001,2023-01-24 08:00:00+0000
ACHUSDT,0.0001,2023-01-24 16:00:00+0000
ACHUSDT,3.305e-05,2023-01-25 00:00:00+0000
ACHUSDT,-0.00041814,2023-01-25 08:00:00+0000
ACHUSDT,0.0001,2023-01-25 16:00:00+0000
ACHUSDT,0.0001,2023-01-26 00:00:00+0000
ACHUSDT,0.0001,2023-01-26 08:00:00+0000
ACHUSDT,0.0001,2023-01-26 16:00:00+0000
ACHUSDT,0.0001,2023-01-27 00:00:00+0000
ACHUSDT,0.0001,2023-01-27 08:00:00+0000
ACHUSDT,0.0001,2023-01-27 16:00:00+0000
ACHUSDT,0.0001,2023-01-28 00:00:00+0000
ACHUSDT,0.00073483,2023-01-28 08:00:00+0000
ACHUSDT,0.0001,2023-01-28 16:00:00+0000
ACHUSDT,0.0001,2023-01-29 00:00:00+0000
ACHUSDT,0.0001,2023-01-29 08:00:00+0000
ACHUSDT,0.0001,2023-01-29 16:00:00+0000
ACHUSDT,0.0001,2023-01-30 00:00:00+0000
ACHUSDT,0.0001,2023-01-30 08:00:00+0000
ACHUSDT,0.0001,2023-01-30 16:00:00+0000
ACHUSDT,-0.00402853,2023-01-31 00:00:00+0000
ACHUSDT,-0.00482171,2023-01-31 08:00:00+0000
ACHUSDT,0.0001,2023-01-31 16:00:00+0000
ACHUSDT,0.00018263,2023-02-01 00:00:00+0000
ACHUSDT,0.0001,2023-02-01 08:00:00+0000
ACHUSDT,0.0001,2023-02-01 16:00:00+0000
ACHUSDT,0.0001,2023-02-02 00:00:00+0000
ACHUSDT,9.815e-05,2023-02-02 08:00:00+0000
ACHUSDT,0.0001,2023-02-02 16:00:00+0000
ACHUSDT,0.0001,2023-02-03 00:00:00+0000
ACHUSDT,0.0001,2023-02-03 08:00:00+0000
ACHUSDT,0.0001,2023-02-03 16:00:00+0000
ACHUSDT,0.0001,2023-02-04 00:00:00+0000
ACHUSDT,0.0001,2023-02-04 08:00:00+0000
ACHUSDT,0.0001,2023-02-04 16:00:00+0000
ACHUSDT,0.0001,2023-02-05 00:00:00+0000
ACHUSDT,-8.231e-05,2023-02-05 08:00:00+0000
ACHUSDT,-0.00066057,2023-02-05 16:00:00+0000
ACHUSDT,0.0001,2023-02-06 00:00:00+0000
ACHUSDT,0.0001,2023-02-06 08:00:00+0000
ACHUSDT,0.0001,2023-02-06 16:00:00+0000
ACHUSDT,0.0001,2023-02-07 00:00:00+0000
ACHUSDT,0.0001,2023-02-07 08:00:00+0000
ACHUSDT,0.0001,2023-02-07 16:00:00+0000
ACHUSDT,0.00011722,2023-02-08 00:00:00+0000
ACHUSDT,0.0001,2023-02-08 08:00:00+0000
ACHUSDT,0.0001,2023-02-08 16:00:00+0000
ACHUSDT,0.0001,2023-02-09 00:00:00+0000
ACHUSDT,0.0001,2023-02-09 08:00:00+0000
ACHUSDT,0.0001,2023-02-09 16:00:00+0000
ACHUSDT,0.0001,2023-02-10 00:00:00+0000
ACHUSDT,0.0001,2023-02-10 08:00:00+0000
ACHUSDT,0.0001,2023-02-10 16:00:00+0000
ACHUSDT,0.0001,2023-02-11 00:00:00+0000
ACHUSDT,0.0001,2023-02-11 08:00:00+0000
ACHUSDT,0.0001,2023-02-11 16:00:00+0000
ACHUSDT,0.0001,2023-02-12 00:00:00+0000
ACHUSDT,0.0001,2023-02-12 08:00:00+0000
ACHUSDT,0.0001,2023-02-12 16:00:00+0000
ACHUSDT,0.0001,2023-02-13 00:00:00+0000
ACHUSDT,0.0001,2023-02-13 08:00:00+0000
ACHUSDT,0.0001,2023-02-13 16:00:00+0000
ACHUSDT,0.0001,2023-02-14 00:00:00+0000
ACHUSDT,0.0001,2023-02-14 08:00:00+0000
ACHUSDT,0.0001,2023-02-14 16:00:00+0000
ACHUSDT,0.0001,2023-02-15 00:00:00+0000
ACHUSDT,0.0001,2023-02-15 08:00:00+0000
ACHUSDT,0.0001,2023-02-15 16:00:00+0000
ACHUSDT,0.0001,2023-02-16 00:00:00+0000
ACHUSDT,-0.00368482,2023-02-16 08:00:00+0000
ACHUSDT,0.0001,2023-02-16 16:00:00+0000
ACHUSDT,0.0001,2023-02-17 00:00:00+0000
ACHUSDT,0.0001,2023-02-17 08:00:00+0000
ACHUSDT,0.0001,2023-02-17 16:00:00+0000
ACHUSDT,0.0001,2023-02-18 00:00:00+0000
ACHUSDT,0.00019666,2023-02-18 08:00:00+0000
ACHUSDT,0.00029376,2023-02-18 16:00:00+0000
ACHUSDT,0.00012611,2023-02-19 00:00:00+0000
ACHUSDT,0.0001,2023-02-19 08:00:00+0000
ACHUSDT,0.0001,2023-02-19 16:00:00+0000
ACHUSDT,-0.00016413,2023-02-20 00:00:00+0000
ACHUSDT,-0.00191015,2023-02-20 08:00:00+0000
ACHUSDT,-0.00321375,2023-02-20 16:00:00+0000
ACHUSDT,-0.00018727,2023-02-21 00:00:00+0000
ACHUSDT,-0.00198413,2023-02-21 08:00:00+0000
ACHUSDT,0.00029312,2023-02-21 16:00:00+0000
ACHUSDT,0.0001,2023-02-22 00:00:00+0000
ACHUSDT,0.00015065,2023-02-22 08:00:00+0000
ACHUSDT,0.0001,2023-02-22 16:00:00+0000
ACHUSDT,0.0001,2023-02-23 00:00:00+0000
ACHUSDT,-0.00023073,2023-02-23 08:00:00+0000
