symbol,fundingRate,fundingRateTimestamp
BANUSDT,0.00149856,2024-11-18 16:00:00+0000
BANUSDT,0.00136927,2024-11-19 00:00:00+0000
BANUSDT,0.00066641,2024-11-19 08:00:00+0000
BANUSDT,0.00061408,2024-11-19 16:00:00+0000
BANUSDT,0.00036554,2024-11-20 00:00:00+0000
BANUSDT,0.00059087,2024-11-20 08:00:00+0000
BANUSDT,0.00030836,2024-11-20 16:00:00+0000
BANUSDT,0.00048077,2024-11-21 00:00:00+0000
BANUSDT,0.00042684,2024-11-21 08:00:00+0000
BANUSDT,0.0001,2024-11-21 16:00:00+0000
BANUSDT,0.00040569,2024-11-22 00:00:00+0000
BANUSDT,0.00035246,2024-11-22 08:00:00+0000
BANUSDT,0.00038842,2024-11-22 16:00:00+0000
BANUSDT,0.00061459,2024-11-23 00:00:00+0000
BANUSDT,0.00087114,2024-11-23 08:00:00+0000
BANUSDT,0.00038194,2024-11-23 16:00:00+0000
BANUSDT,0.00041788,2024-11-24 00:00:00+0000
BANUSDT,0.00054193,2024-11-24 08:00:00+0000
BANUSDT,0.00029286,2024-11-24 16:00:00+0000
BANUSDT,0.0005469,2024-11-25 00:00:00+0000
BANUSDT,0.00041985,2024-11-25 08:00:00+0000
BANUSDT,0.00051883,2024-11-25 16:00:00+0000
BANUSDT,0.00033557,2024-11-26 00:00:00+0000
BANUSDT,0.00029581,2024-11-26 08:00:00+0000
BANUSDT,0.00011003,2024-11-26 16:00:00+0000
BANUSDT,0.0001,2024-11-27 00:00:00+0000
BANUSDT,0.00016854,2024-11-27 08:00:00+0000
BANUSDT,0.00020368,2024-11-27 16:00:00+0000
BANUSDT,0.00027916,2024-11-28 00:00:00+0000
BANUSDT,0.00028484,2024-11-28 08:00:00+0000
BANUSDT,0.00026765,2024-11-28 16:00:00+0000
BANUSDT,0.00038382,2024-11-29 00:00:00+0000
BANUSDT,0.00054857,2024-11-29 08:00:00+0000
BANUSDT,0.00053017,2024-11-29 16:00:00+0000
BANUSDT,0.00060078,2024-11-30 00:00:00+0000
BANUSDT,0.00063612,2024-11-30 08:00:00+0000
BANUSDT,0.0001465,2024-11-30 16:00:00+0000
BANUSDT,0.00049237,2024-12-01 00:00:00+0000
BANUSDT,0.0002812,2024-12-01 08:00:00+0000
BANUSDT,0.00049514,2024-12-01 16:00:00+0000
BANUSDT,0.0003354,2024-12-02 00:00:00+0000
BANUSDT,0.00024738,2024-12-02 08:00:00+0000
BANUSDT,0.0001,2024-12-02 16:00:00+0000
BANUSDT,0.00012173,2024-12-03 00:00:00+0000
BANUSDT,0.00047457,2024-12-03 08:00:00+0000
BANUSDT,0.00061983,2024-12-03 16:00:00+0000
BANUSDT,0.0006667,2024-12-04 00:00:00+0000
BANUSDT,0.00047559,2024-12-04 08:00:00+0000
BANUSDT,0.00076597,2024-12-04 16:00:00+0000
BANUSDT,0.00062986,2024-12-05 00:00:00+0000
BANUSDT,0.00089158,2024-12-05 08:00:00+0000
BANUSDT,0.00082169,2024-12-05 16:00:00+0000
BANUSDT,0.00122082,2024-12-06 00:00:00+0000
BANUSDT,0.0015625,2024-12-06 08:00:00+0000
BANUSDT,0.00056961,2024-12-06 16:00:00+0000
BANUSDT,0.00118187,2024-12-07 00:00:00+0000
BANUSDT,0.00149671,2024-12-07 08:00:00+0000
BANUSDT,0.0011251,2024-12-07 16:00:00+0000
BANUSDT,0.0016926,2024-12-08 00:00:00+0000
BANUSDT,0.00078226,2024-12-08 08:00:00+0000
BANUSDT,0.00070489,2024-12-08 16:00:00+0000
BANUSDT,0.00061837,2024-12-09 00:00:00+0000
BANUSDT,0.00035519,2024-12-09 08:00:00+0000
BANUSDT,0.00025466,2024-12-09 16:00:00+0000
BANUSDT,0.00019596,2024-12-10 00:00:00+0000
BANUSDT,0.0001,2024-12-10 08:00:00+0000
BANUSDT,0.0001,2024-12-10 16:00:00+0000
BANUSDT,0.0001,2024-12-11 00:00:00+0000
BANUSDT,0.0001,2024-12-11 08:00:00+0000
BANUSDT,0.0001,2024-12-11 16:00:00+0000
BANUSDT,0.0001,2024-12-12 00:00:00+0000
BANUSDT,0.0001,2024-12-12 08:00:00+0000
BANUSDT,0.0001,2024-12-12 16:00:00+0000
BANUSDT,0.0001,2024-12-13 00:00:00+0000
BANUSDT,0.00018115,2024-12-13 08:00:00+0000
BANUSDT,0.00022555,2024-12-13 16:00:00+0000
BANUSDT,0.0001,2024-12-14 00:00:00+0000
BANUSDT,0.00029085,2024-12-14 08:00:00+0000
BANUSDT,0.00027986,2024-12-14 16:00:00+0000
BANUSDT,0.00030432,2024-12-15 00:00:00+0000
BANUSDT,0.00036108,2024-12-15 08:00:00+0000
BANUSDT,0.0001,2024-12-15 16:00:00+0000
BANUSDT,0.0001,2024-12-16 00:00:00+0000
BANUSDT,0.00016169,2024-12-16 08:00:00+0000
BANUSDT,0.0001,2024-12-16 16:00:00+0000
BANUSDT,0.00035915,2024-12-17 00:00:00+0000
BANUSDT,0.00022427,2024-12-17 08:00:00+0000
BANUSDT,0.00015648,2024-12-17 16:00:00+0000
BANUSDT,0.0001,2024-12-18 00:00:00+0000
BANUSDT,0.0001,2024-12-18 08:00:00+0000
BANUSDT,0.0001,2024-12-18 16:00:00+0000
BANUSDT,0.0001,2024-12-19 00:00:00+0000
BANUSDT,0.0001,2024-12-19 08:00:00+0000
BANUSDT,0.0001,2024-12-19 16:00:00+0000
BANUSDT,0.0001,2024-12-20 00:00:00+0000
BANUSDT,0.0001,2024-12-20 08:00:00+0000
BANUSDT,0.0001,2024-12-20 16:00:00+0000
BANUSDT,0.0001,2024-12-21 00:00:00+0000
BANUSDT,0.0001,2024-12-21 08:00:00+0000
BANUSDT,0.0001,2024-12-21 16:00:00+0000
BANUSDT,0.0001,2024-12-22 00:00:00+0000
BANUSDT,0.0001,2024-12-22 08:00:00+0000
BANUSDT,0.0001,2024-12-22 16:00:00+0000
BANUSDT,0.0001,2024-12-23 00:00:00+0000
BANUSDT,0.0001,2024-12-23 08:00:00+0000
BANUSDT,0.0001,2024-12-23 16:00:00+0000
BANUSDT,0.0001,2024-12-24 00:00:00+0000
BANUSDT,0.0001,2024-12-24 08:00:00+0000
BANUSDT,0.0001,2024-12-24 16:00:00+0000
BANUSDT,0.0001,2024-12-25 00:00:00+0000
BANUSDT,0.0001,2024-12-25 08:00:00+0000
BANUSDT,0.0001,2024-12-25 16:00:00+0000
BANUSDT,0.0001,2024-12-26 00:00:00+0000
BANUSDT,0.0001,2024-12-26 08:00:00+0000
BANUSDT,0.0001,2024-12-26 16:00:00+0000
BANUSDT,0.0001,2024-12-27 00:00:00+0000
BANUSDT,0.0001,2024-12-27 08:00:00+0000
BANUSDT,0.0001,2024-12-27 16:00:00+0000
BANUSDT,0.0001,2024-12-28 00:00:00+0000
BANUSDT,0.0001,2024-12-28 08:00:00+0000
BANUSDT,0.0001,2024-12-28 16:00:00+0000
BANUSDT,0.0001,2024-12-29 00:00:00+0000
BANUSDT,0.0001,2024-12-29 08:00:00+0000
BANUSDT,0.0001,2024-12-29 16:00:00+0000
BANUSDT,0.0001,2024-12-30 00:00:00+0000
BANUSDT,0.0001,2024-12-30 08:00:00+0000
BANUSDT,0.0001,2024-12-30 16:00:00+0000
BANUSDT,0.0001,2024-12-31 00:00:00+0000
BANUSDT,0.0001,2024-12-31 08:00:00+0000
BANUSDT,0.0001,2024-12-31 16:00:00+0000
BANUSDT,0.0001,2025-01-01 00:00:00+0000
BANUSDT,0.0001,2025-01-01 08:00:00+0000
BANUSDT,0.0001,2025-01-01 16:00:00+0000
BANUSDT,0.0001,2025-01-02 00:00:00+0000
BANUSDT,0.0001,2025-01-02 08:00:00+0000
BANUSDT,0.0001,2025-01-02 16:00:00+0000
BANUSDT,0.0001,2025-01-03 00:00:00+0000
BANUSDT,0.0001,2025-01-03 08:00:00+0000
BANUSDT,0.00027058,2025-01-03 16:00:00+0000
BANUSDT,0.00033315,2025-01-04 00:00:00+0000
BANUSDT,0.0001,2025-01-04 08:00:00+0000
BANUSDT,0.0001,2025-01-04 16:00:00+0000
BANUSDT,0.0001,2025-01-05 00:00:00+0000
BANUSDT,7.554e-05,2025-01-05 08:00:00+0000
BANUSDT,0.0001,2025-01-05 16:00:00+0000
BANUSDT,0.0001,2025-01-06 00:00:00+0000
BANUSDT,0.0001,2025-01-06 08:00:00+0000
BANUSDT,0.0001,2025-01-06 16:00:00+0000
BANUSDT,0.0001,2025-01-07 00:00:00+0000
BANUSDT,0.0001,2025-01-07 08:00:00+0000
BANUSDT,0.0001,2025-01-07 16:00:00+0000
BANUSDT,0.0001,2025-01-08 00:00:00+0000
BANUSDT,0.0001,2025-01-08 08:00:00+0000
BANUSDT,0.0001,2025-01-08 16:00:00+0000
BANUSDT,0.0001,2025-01-09 00:00:00+0000
BANUSDT,-0.00016936,2025-01-09 08:00:00+0000
BANUSDT,0.0001,2025-01-09 16:00:00+0000
BANUSDT,0.0001,2025-01-10 00:00:00+0000
BANUSDT,0.0001,2025-01-10 08:00:00+0000
