symbol,fundingRate,fundingRateTimestamp
BROCCOLIUSDT,-0.00286015,2025-02-14 16:00:00+0000
BROCCOLIUSDT,0.00087258,2025-02-14 20:00:00+0000
BROCCOLIUSDT,-0.00213551,2025-02-15 00:00:00+0000
BROCCOLIUSDT,-0.00129703,2025-02-15 04:00:00+0000
BROCCOLIUSDT,-0.00382157,2025-02-15 08:00:00+0000
BROCCOLIUSDT,0.00061659,2025-02-15 12:00:00+0000
BROCCOLIUSDT,-0.00016354,2025-02-15 16:00:00+0000
BROCCOLIUSDT,-0.00140118,2025-02-15 20:00:00+0000
BROCCOLIUSDT,-0.01386654,2025-02-16 00:00:00+0000
BROCCOLIUSDT,-0.00946052,2025-02-16 04:00:00+0000
BROCCOLIUSDT,-0.01006576,2025-02-16 08:00:00+0000
BROCCOLIUSDT,-0.0052805,2025-02-16 12:00:00+0000
BROCCOLIUSDT,-0.00020328,2025-02-16 16:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-16 20:00:00+0000
BROCCOLIUSDT,-0.00570407,2025-02-17 00:00:00+0000
BROCCOLIUSDT,-0.00301011,2025-02-17 04:00:00+0000
BROCCOLIUSDT,-0.00216865,2025-02-17 08:00:00+0000
BROCCOLIUSDT,-0.00603821,2025-02-17 12:00:00+0000
BROCCOLIUSDT,-0.00110596,2025-02-17 16:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-17 20:00:00+0000
BROCCOLIUSDT,-0.00091532,2025-02-18 00:00:00+0000
BROCCOLIUSDT,-0.00531644,2025-02-18 04:00:00+0000
BROCCOLIUSDT,-0.00024871,2025-02-18 08:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-18 12:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-18 16:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-18 20:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-19 00:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-19 04:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-19 08:00:00+0000
BROCCOLIUSDT,5e-05,2025-02-19 12:00:00+0000
