symbol,fundingRate,fundingRateTimestamp
GASUSDT,0.0001,2023-10-23 08:00:00+0000
GASUSDT,0.00043399,2023-10-23 16:00:00+0000
GASUSDT,0.00025222,2023-10-24 00:00:00+0000
GASUSDT,0.00033125,2023-10-24 08:00:00+0000
GASUSDT,-0.00266896,2023-10-24 16:00:00+0000
GASUSDT,0.000242,2023-10-25 00:00:00+0000
GASUSDT,0.0001,2023-10-25 08:00:00+0000
GASUSDT,0.0001,2023-10-25 16:00:00+0000
GASUSDT,0.0001,2023-10-26 00:00:00+0000
GASUSDT,0.0001,2023-10-26 08:00:00+0000
GASUSDT,0.00035363,2023-10-26 16:00:00+0000
GASUSDT,0.00035926,2023-10-27 00:00:00+0000
GASUSDT,0.0001047,2023-10-27 08:00:00+0000
GASUSDT,0.0001,2023-10-27 16:00:00+0000
GASUSDT,0.0001,2023-10-28 00:00:00+0000
GASUSDT,0.0001,2023-10-28 08:00:00+0000
GASUSDT,-0.00042629,2023-10-28 16:00:00+0000
GASUSDT,0.0001,2023-10-29 00:00:00+0000
GASUSDT,0.0001,2023-10-29 08:00:00+0000
GASUSDT,0.0001,2023-10-29 16:00:00+0000
GASUSDT,0.0001,2023-10-30 00:00:00+0000
GASUSDT,0.0001,2023-10-30 08:00:00+0000
GASUSDT,0.00013262,2023-10-30 16:00:00+0000
GASUSDT,0.00011225,2023-10-31 00:00:00+0000
GASUSDT,0.00010625,2023-10-31 08:00:00+0000
GASUSDT,0.00057891,2023-10-31 16:00:00+0000
GASUSDT,0.00077941,2023-11-01 00:00:00+0000
GASUSDT,0.00028497,2023-11-01 08:00:00+0000
GASUSDT,0.0003199,2023-11-01 16:00:00+0000
GASUSDT,0.00072588,2023-11-02 00:00:00+0000
GASUSDT,0.00083349,2023-11-02 08:00:00+0000
GASUSDT,0.00059893,2023-11-02 16:00:00+0000
GASUSDT,0.0001,2023-11-03 00:00:00+0000
GASUSDT,0.0001,2023-11-03 08:00:00+0000
GASUSDT,-0.00118475,2023-11-03 16:00:00+0000
GASUSDT,-0.00131714,2023-11-04 00:00:00+0000
GASUSDT,-0.00092663,2023-11-04 08:00:00+0000
GASUSDT,-0.01031486,2023-11-04 16:00:00+0000
GASUSDT,-0.01306713,2023-11-05 00:00:00+0000
GASUSDT,-0.00790477,2023-11-05 08:00:00+0000
GASUSDT,-0.00626225,2023-11-05 16:00:00+0000
GASUSDT,-0.00712419,2023-11-06 00:00:00+0000
GASUSDT,-0.00638834,2023-11-06 08:00:00+0000
GASUSDT,-0.0015938,2023-11-06 16:00:00+0000
GASUSDT,-0.00079676,2023-11-07 00:00:00+0000
GASUSDT,-0.00060427,2023-11-07 08:00:00+0000
GASUSDT,-0.00036477,2023-11-07 16:00:00+0000
GASUSDT,0.0001,2023-11-08 00:00:00+0000
GASUSDT,0.0001,2023-11-08 08:00:00+0000
GASUSDT,0.0001,2023-11-08 16:00:00+0000
GASUSDT,0.0001,2023-11-09 00:00:00+0000
GASUSDT,-0.00156558,2023-11-09 08:00:00+0000
GASUSDT,-0.00150534,2023-11-09 16:00:00+0000
GASUSDT,-0.00757916,2023-11-10 00:00:00+0000
GASUSDT,-0.02,2023-11-10 08:00:00+0000
GASUSDT,-0.01918467,2023-11-10 12:00:00+0000
GASUSDT,-0.02,2023-11-10 16:00:00+0000
GASUSDT,-0.02,2023-11-10 18:00:00+0000
GASUSDT,-0.01471263,2023-11-10 20:00:00+0000
GASUSDT,-0.00449838,2023-11-10 22:00:00+0000
GASUSDT,-0.00514732,2023-11-11 00:00:00+0000
GASUSDT,-0.02,2023-11-11 02:00:00+0000
GASUSDT,-0.02,2023-11-11 04:00:00+0000
GASUSDT,-0.02,2023-11-11 06:00:00+0000
GASUSDT,-0.00220467,2023-11-11 08:00:00+0000
GASUSDT,2.5e-05,2023-11-11 10:00:00+0000
GASUSDT,2.5e-05,2023-11-11 12:00:00+0000
GASUSDT,2.5e-05,2023-11-11 14:00:00+0000
GASUSDT,2.5e-05,2023-11-11 16:00:00+0000
GASUSDT,2.5e-05,2023-11-11 18:00:00+0000
GASUSDT,2.5e-05,2023-11-11 20:00:00+0000
GASUSDT,-0.00047911,2023-11-11 22:00:00+0000
GASUSDT,-7.763e-05,2023-11-12 00:00:00+0000
GASUSDT,-0.00037571,2023-11-12 02:00:00+0000
GASUSDT,2.5e-05,2023-11-12 04:00:00+0000
GASUSDT,0.00024379,2023-11-12 06:00:00+0000
GASUSDT,0.0004208,2023-11-12 08:00:00+0000
GASUSDT,0.00024152,2023-11-12 10:00:00+0000
GASUSDT,0.00028899,2023-11-12 12:00:00+0000
GASUSDT,0.00036097,2023-11-12 14:00:00+0000
GASUSDT,2.5e-05,2023-11-12 16:00:00+0000
GASUSDT,0.00036507,2023-11-12 18:00:00+0000
GASUSDT,0.00033218,2023-11-12 20:00:00+0000
GASUSDT,0.0004903,2023-11-12 22:00:00+0000
GASUSDT,0.00037825,2023-11-13 00:00:00+0000
GASUSDT,0.00023094,2023-11-13 02:00:00+0000
GASUSDT,2.5e-05,2023-11-13 04:00:00+0000
GASUSDT,2.5e-05,2023-11-13 06:00:00+0000
GASUSDT,8.965e-05,2023-11-13 08:00:00+0000
GASUSDT,0.00042573,2023-11-13 16:00:00+0000
GASUSDT,0.00013731,2023-11-14 00:00:00+0000
GASUSDT,0.00056165,2023-11-14 08:00:00+0000
GASUSDT,0.00043084,2023-11-14 16:00:00+0000
GASUSDT,0.00031684,2023-11-15 00:00:00+0000
