symbol,fundingRate,fundingRateTimestamp
GMTUSDT,-0.00122047,2023-01-01 00:00:00+0000
GMTUSDT,-0.00033254,2023-01-01 08:00:00+0000
GMTUSDT,-0.00017916,2023-01-01 16:00:00+0000
GMTUSDT,-0.00035911,2023-01-02 00:00:00+0000
GMTUSDT,-0.00039976,2023-01-02 08:00:00+0000
GMTUSDT,-0.00019291,2023-01-02 16:00:00+0000
GMTUSDT,-0.00011465,2023-01-03 00:00:00+0000
GMTUSDT,2.94e-06,2023-01-03 08:00:00+0000
GMTUSDT,-5.502e-05,2023-01-03 16:00:00+0000
GMTUSDT,-6.35e-06,2023-01-04 00:00:00+0000
GMTUSDT,-3.865e-05,2023-01-04 08:00:00+0000
GMTUSDT,-8.277e-05,2023-01-04 16:00:00+0000
GMTUSDT,-0.00032626,2023-01-05 00:00:00+0000
GMTUSDT,-9.056e-05,2023-01-05 08:00:00+0000
GMTUSDT,-0.00017207,2023-01-05 16:00:00+0000
GMTUSDT,-4.635e-05,2023-01-06 00:00:00+0000
GMTUSDT,-0.00016618,2023-01-06 08:00:00+0000
GMTUSDT,-9.858e-05,2023-01-06 16:00:00+0000
GMTUSDT,-6.605e-05,2023-01-07 00:00:00+0000
GMTUSDT,0.0001,2023-01-07 08:00:00+0000
GMTUSDT,0.0001,2023-01-07 16:00:00+0000
GMTUSDT,2.811e-05,2023-01-08 00:00:00+0000
GMTUSDT,-8.763e-05,2023-01-08 08:00:00+0000
GMTUSDT,0.0001,2023-01-08 16:00:00+0000
GMTUSDT,9.409e-05,2023-01-09 00:00:00+0000
GMTUSDT,7.081e-05,2023-01-09 08:00:00+0000
GMTUSDT,7.735e-05,2023-01-09 16:00:00+0000
GMTUSDT,9.259e-05,2023-01-10 00:00:00+0000
GMTUSDT,9.493e-05,2023-01-10 08:00:00+0000
GMTUSDT,0.0001,2023-01-10 16:00:00+0000
GMTUSDT,-5.303e-05,2023-01-11 00:00:00+0000
GMTUSDT,-9.024e-05,2023-01-11 08:00:00+0000
GMTUSDT,-0.0002053,2023-01-11 16:00:00+0000
GMTUSDT,8.866e-05,2023-01-12 00:00:00+0000
GMTUSDT,-1.79e-06,2023-01-12 08:00:00+0000
GMTUSDT,-0.00010644,2023-01-12 16:00:00+0000
GMTUSDT,-1.71e-05,2023-01-13 00:00:00+0000
GMTUSDT,0.0001,2023-01-13 08:00:00+0000
GMTUSDT,0.0001,2023-01-13 16:00:00+0000
GMTUSDT,0.0001,2023-01-14 00:00:00+0000
GMTUSDT,-8.136e-05,2023-01-14 08:00:00+0000
GMTUSDT,5.389e-05,2023-01-14 16:00:00+0000
GMTUSDT,0.0001,2023-01-15 00:00:00+0000
GMTUSDT,0.0001,2023-01-15 08:00:00+0000
GMTUSDT,0.0001,2023-01-15 16:00:00+0000
GMTUSDT,0.0001,2023-01-16 00:00:00+0000
GMTUSDT,0.0001,2023-01-16 08:00:00+0000
GMTUSDT,0.0001,2023-01-16 16:00:00+0000
GMTUSDT,0.0001,2023-01-17 00:00:00+0000
GMTUSDT,0.0001,2023-01-17 08:00:00+0000
GMTUSDT,0.0001,2023-01-17 16:00:00+0000
GMTUSDT,0.0001,2023-01-18 00:00:00+0000
GMTUSDT,0.0001,2023-01-18 08:00:00+0000
GMTUSDT,0.0001,2023-01-18 16:00:00+0000
GMTUSDT,0.0001,2023-01-19 00:00:00+0000
GMTUSDT,0.0001,2023-01-19 08:00:00+0000
GMTUSDT,0.0001,2023-01-19 16:00:00+0000
GMTUSDT,0.0001,2023-01-20 00:00:00+0000
GMTUSDT,0.0001,2023-01-20 08:00:00+0000
GMTUSDT,0.0001,2023-01-20 16:00:00+0000
GMTUSDT,0.0001,2023-01-21 00:00:00+0000
GMTUSDT,0.00026805,2023-01-21 08:00:00+0000
GMTUSDT,0.0001,2023-01-21 16:00:00+0000
GMTUSDT,0.0001,2023-01-22 00:00:00+0000
GMTUSDT,0.0001944,2023-01-22 08:00:00+0000
GMTUSDT,0.0001,2023-01-22 16:00:00+0000
GMTUSDT,0.0001,2023-01-23 00:00:00+0000
GMTUSDT,0.0001,2023-01-23 08:00:00+0000
GMTUSDT,0.0001,2023-01-23 16:00:00+0000
GMTUSDT,0.00013019,2023-01-24 00:00:00+0000
GMTUSDT,0.00041038,2023-01-24 08:00:00+0000
GMTUSDT,0.00037634,2023-01-24 16:00:00+0000
GMTUSDT,0.0001,2023-01-25 00:00:00+0000
GMTUSDT,0.0001,2023-01-25 08:00:00+0000
GMTUSDT,0.0001,2023-01-25 16:00:00+0000
