symbol,fundingRate,fundingRateTimestamp
GUSDT,0.0001,2024-07-25 16:00:00+0000
GUSDT,0.0001,2024-07-26 00:00:00+0000
GUSDT,3.521e-05,2024-07-26 08:00:00+0000
GUSDT,0.0001,2024-07-26 16:00:00+0000
GUSDT,-0.0001957,2024-07-27 00:00:00+0000
GUSDT,-0.00034931,2024-07-27 08:00:00+0000
GUSDT,-0.00014044,2024-07-27 16:00:00+0000
GUSDT,-0.00103616,2024-07-28 00:00:00+0000
GUSDT,-0.00032511,2024-07-28 08:00:00+0000
GUSDT,-0.00074704,2024-07-28 16:00:00+0000
GUSDT,-0.00026258,2024-07-29 00:00:00+0000
GUSDT,9.18e-05,2024-07-29 08:00:00+0000
GUSDT,0.0001,2024-07-29 16:00:00+0000
GUSDT,-0.00041386,2024-07-30 00:00:00+0000
GUSDT,0.0001,2024-07-30 08:00:00+0000
GUSDT,-0.00015935,2024-07-30 16:00:00+0000
GUSDT,-0.00088435,2024-07-31 00:00:00+0000
GUSDT,0.0001,2024-07-31 08:00:00+0000
GUSDT,0.0001,2024-07-31 16:00:00+0000
GUSDT,8.069e-05,2024-08-01 00:00:00+0000
GUSDT,-0.00023471,2024-08-01 08:00:00+0000
GUSDT,0.0001,2024-08-01 16:00:00+0000
GUSDT,0.0001,2024-08-02 00:00:00+0000
GUSDT,0.0001,2024-08-02 08:00:00+0000
GUSDT,-5.264e-05,2024-08-02 16:00:00+0000
GUSDT,0.0001,2024-08-03 00:00:00+0000
GUSDT,0.0001,2024-08-03 08:00:00+0000
GUSDT,0.0001,2024-08-03 16:00:00+0000
GUSDT,0.0001,2024-08-04 00:00:00+0000
GUSDT,0.0001,2024-08-04 08:00:00+0000
GUSDT,0.0001,2024-08-04 16:00:00+0000
GUSDT,0.0001,2024-08-05 00:00:00+0000
GUSDT,3.003e-05,2024-08-05 08:00:00+0000
GUSDT,0.0001,2024-08-05 16:00:00+0000
GUSDT,0.0001,2024-08-06 00:00:00+0000
GUSDT,0.0001,2024-08-06 08:00:00+0000
GUSDT,0.0001,2024-08-06 16:00:00+0000
GUSDT,-9.713e-05,2024-08-07 00:00:00+0000
GUSDT,0.0001,2024-08-07 08:00:00+0000
GUSDT,-0.00056621,2024-08-07 16:00:00+0000
GUSDT,0.0001,2024-08-08 00:00:00+0000
GUSDT,-0.00052169,2024-08-08 08:00:00+0000
GUSDT,-0.00031603,2024-08-08 16:00:00+0000
GUSDT,0.0001,2024-08-09 00:00:00+0000
GUSDT,0.0001,2024-08-09 08:00:00+0000
GUSDT,0.0001,2024-08-09 16:00:00+0000
GUSDT,0.0001,2024-08-10 00:00:00+0000
GUSDT,0.0001,2024-08-10 08:00:00+0000
GUSDT,0.0001,2024-08-10 16:00:00+0000
GUSDT,0.0001,2024-08-11 00:00:00+0000
GUSDT,-0.00074346,2024-08-11 08:00:00+0000
GUSDT,2.114e-05,2024-08-11 16:00:00+0000
GUSDT,-7.484e-05,2024-08-12 00:00:00+0000
GUSDT,0.0001,2024-08-12 08:00:00+0000
GUSDT,-1.72e-05,2024-08-12 16:00:00+0000
GUSDT,0.0001,2024-08-13 00:00:00+0000
GUSDT,0.0001,2024-08-13 08:00:00+0000
GUSDT,-0.00043137,2024-08-13 16:00:00+0000
GUSDT,-0.00152556,2024-08-14 00:00:00+0000
GUSDT,-0.00050731,2024-08-14 08:00:00+0000
GUSDT,1.471e-05,2024-08-14 16:00:00+0000
GUSDT,0.0001,2024-08-15 00:00:00+0000
GUSDT,-0.00012227,2024-08-15 08:00:00+0000
GUSDT,-7.25e-06,2024-08-15 16:00:00+0000
GUSDT,4.44e-05,2024-08-16 00:00:00+0000
GUSDT,-0.00048589,2024-08-16 08:00:00+0000
GUSDT,-0.00010414,2024-08-16 16:00:00+0000
GUSDT,2.603e-05,2024-08-17 00:00:00+0000
GUSDT,0.0001,2024-08-17 08:00:00+0000
GUSDT,-0.00083188,2024-08-17 16:00:00+0000
GUSDT,-0.00074356,2024-08-18 00:00:00+0000
GUSDT,-0.00121705,2024-08-18 08:00:00+0000
GUSDT,-0.00022427,2024-08-18 16:00:00+0000
GUSDT,-0.00080085,2024-08-19 00:00:00+0000
GUSDT,-0.0004415,2024-08-19 08:00:00+0000
GUSDT,-0.00018051,2024-08-19 16:00:00+0000
GUSDT,0.0001,2024-08-20 00:00:00+0000
GUSDT,-0.0002088,2024-08-20 08:00:00+0000
GUSDT,9.99e-06,2024-08-20 16:00:00+0000
GUSDT,2.062e-05,2024-08-21 00:00:00+0000
GUSDT,6.668e-05,2024-08-21 08:00:00+0000
GUSDT,4.858e-05,2024-08-21 16:00:00+0000
GUSDT,-0.00012946,2024-08-22 00:00:00+0000
GUSDT,-2.92e-05,2024-08-22 08:00:00+0000
GUSDT,5.96e-06,2024-08-22 16:00:00+0000
GUSDT,-0.00024129,2024-08-23 00:00:00+0000
GUSDT,-3.243e-05,2024-08-23 08:00:00+0000
GUSDT,3.219e-05,2024-08-23 16:00:00+0000
GUSDT,0.0001,2024-08-24 00:00:00+0000
GUSDT,2.898e-05,2024-08-24 08:00:00+0000
GUSDT,0.0001,2024-08-24 16:00:00+0000
GUSDT,7.214e-05,2024-08-25 00:00:00+0000
GUSDT,-4.548e-05,2024-08-25 08:00:00+0000
GUSDT,-0.00016247,2024-08-25 16:00:00+0000
GUSDT,-0.00037857,2024-08-26 00:00:00+0000
GUSDT,-0.00049818,2024-08-26 08:00:00+0000
GUSDT,4.209e-05,2024-08-26 16:00:00+0000
GUSDT,-0.00033817,2024-08-27 00:00:00+0000
GUSDT,-9.261e-05,2024-08-27 08:00:00+0000
GUSDT,4.639e-05,2024-08-27 16:00:00+0000
GUSDT,-0.00014532,2024-08-28 00:00:00+0000
GUSDT,-0.000139,2024-08-28 08:00:00+0000
GUSDT,-7.969e-05,2024-08-28 16:00:00+0000
GUSDT,0.0001,2024-08-29 00:00:00+0000
GUSDT,-0.00014949,2024-08-29 08:00:00+0000
GUSDT,0.0001,2024-08-29 16:00:00+0000
GUSDT,-8.6e-07,2024-08-30 00:00:00+0000
GUSDT,8.471e-05,2024-08-30 08:00:00+0000
GUSDT,-9.806e-05,2024-08-30 16:00:00+0000
GUSDT,4.568e-05,2024-08-31 00:00:00+0000
GUSDT,-0.00027488,2024-08-31 08:00:00+0000
GUSDT,0.0001,2024-08-31 16:00:00+0000
GUSDT,0.0001,2024-09-01 00:00:00+0000
GUSDT,3.302e-05,2024-09-01 08:00:00+0000
GUSDT,-5.235e-05,2024-09-01 16:00:00+0000
GUSDT,-0.00032606,2024-09-02 00:00:00+0000
GUSDT,-0.00032612,2024-09-02 08:00:00+0000
GUSDT,-3.256e-05,2024-09-02 16:00:00+0000
GUSDT,-0.00011151,2024-09-03 00:00:00+0000
GUSDT,-0.00044029,2024-09-03 08:00:00+0000
GUSDT,-0.0002949,2024-09-03 16:00:00+0000
GUSDT,-0.00045519,2024-09-04 00:00:00+0000
GUSDT,-0.0001025,2024-09-04 08:00:00+0000
GUSDT,-0.00010029,2024-09-04 16:00:00+0000
GUSDT,-0.00015494,2024-09-05 00:00:00+0000
GUSDT,-3.22e-05,2024-09-05 08:00:00+0000
GUSDT,-7.504e-05,2024-09-05 16:00:00+0000
GUSDT,-7.81e-05,2024-09-06 00:00:00+0000
GUSDT,-0.00012014,2024-09-06 08:00:00+0000
GUSDT,-0.00017203,2024-09-06 16:00:00+0000
GUSDT,-0.00017604,2024-09-07 00:00:00+0000
GUSDT,-5.487e-05,2024-09-07 08:00:00+0000
GUSDT,0.0001,2024-09-07 16:00:00+0000
GUSDT,2.926e-05,2024-09-08 00:00:00+0000
GUSDT,-0.00089424,2024-09-08 08:00:00+0000
GUSDT,4.222e-05,2024-09-08 16:00:00+0000
GUSDT,-0.00014838,2024-09-09 00:00:00+0000
GUSDT,-9.215e-05,2024-09-09 08:00:00+0000
GUSDT,0.0001,2024-09-09 16:00:00+0000
GUSDT,3.409e-05,2024-09-10 00:00:00+0000
GUSDT,7.035e-05,2024-09-10 08:00:00+0000
GUSDT,-2.255e-05,2024-09-10 16:00:00+0000
GUSDT,8.892e-05,2024-09-11 00:00:00+0000
GUSDT,-0.0001384,2024-09-11 08:00:00+0000
GUSDT,0.0001,2024-09-11 16:00:00+0000
GUSDT,0.0001,2024-09-12 00:00:00+0000
GUSDT,-6.668e-05,2024-09-12 08:00:00+0000
GUSDT,4.12e-06,2024-09-12 16:00:00+0000
GUSDT,8.206e-05,2024-09-13 00:00:00+0000
GUSDT,-0.00138028,2024-09-13 08:00:00+0000
GUSDT,-9.929e-05,2024-09-13 16:00:00+0000
GUSDT,-0.0002094,2024-09-14 00:00:00+0000
GUSDT,-0.0004292,2024-09-14 08:00:00+0000
GUSDT,-0.0005202,2024-09-14 16:00:00+0000
GUSDT,-0.00042854,2024-09-15 00:00:00+0000
GUSDT,-0.00031789,2024-09-15 08:00:00+0000
GUSDT,-0.00046582,2024-09-15 16:00:00+0000
GUSDT,-0.0003985,2024-09-16 00:00:00+0000
GUSDT,-0.00054902,2024-09-16 08:00:00+0000
GUSDT,-0.00053317,2024-09-16 16:00:00+0000
GUSDT,-0.00059328,2024-09-17 00:00:00+0000
GUSDT,-0.00014167,2024-09-17 08:00:00+0000
GUSDT,-0.00037287,2024-09-17 16:00:00+0000
GUSDT,-0.00029174,2024-09-18 00:00:00+0000
GUSDT,-0.0002314,2024-09-18 08:00:00+0000
GUSDT,-0.00045517,2024-09-18 16:00:00+0000
GUSDT,8.192e-05,2024-09-19 00:00:00+0000
GUSDT,-7.667e-05,2024-09-19 08:00:00+0000
GUSDT,9.88e-05,2024-09-19 16:00:00+0000
GUSDT,-0.00030215,2024-09-20 00:00:00+0000
GUSDT,-7.319e-05,2024-09-20 08:00:00+0000
GUSDT,0.0001,2024-09-20 16:00:00+0000
GUSDT,-0.00024373,2024-09-21 00:00:00+0000
GUSDT,5.011e-05,2024-09-21 08:00:00+0000
GUSDT,8.105e-05,2024-09-21 16:00:00+0000
GUSDT,0.0001,2024-09-22 00:00:00+0000
GUSDT,-0.00049558,2024-09-22 08:00:00+0000
GUSDT,0.0001,2024-09-22 16:00:00+0000
GUSDT,-0.00010785,2024-09-23 00:00:00+0000
GUSDT,-0.00016209,2024-09-23 08:00:00+0000
GUSDT,0.0001,2024-09-23 16:00:00+0000
GUSDT,0.0001,2024-09-24 00:00:00+0000
GUSDT,6.13e-06,2024-09-24 08:00:00+0000
GUSDT,0.0001,2024-09-24 16:00:00+0000
GUSDT,0.0001,2024-09-25 00:00:00+0000
GUSDT,0.0001,2024-09-25 08:00:00+0000
GUSDT,0.0001,2024-09-25 16:00:00+0000
GUSDT,-0.00022907,2024-09-26 00:00:00+0000
GUSDT,6.679e-05,2024-09-26 08:00:00+0000
GUSDT,9.508e-05,2024-09-26 16:00:00+0000
GUSDT,0.0001,2024-09-27 00:00:00+0000
GUSDT,-0.00023095,2024-09-27 08:00:00+0000
GUSDT,3.438e-05,2024-09-27 16:00:00+0000
GUSDT,4.127e-05,2024-09-28 00:00:00+0000
GUSDT,-0.00012458,2024-09-28 08:00:00+0000
GUSDT,0.0001,2024-09-28 16:00:00+0000
GUSDT,-0.00011771,2024-09-29 00:00:00+0000
GUSDT,-0.0003162,2024-09-29 08:00:00+0000
GUSDT,0.0001,2024-09-29 16:00:00+0000
GUSDT,-0.00011985,2024-09-30 00:00:00+0000
GUSDT,0.0001,2024-09-30 08:00:00+0000
GUSDT,0.0001,2024-09-30 16:00:00+0000
GUSDT,0.0001,2024-10-01 00:00:00+0000
GUSDT,0.0001,2024-10-01 08:00:00+0000
GUSDT,-6.793e-05,2024-10-01 16:00:00+0000
GUSDT,-0.00050746,2024-10-02 00:00:00+0000
GUSDT,9.102e-05,2024-10-02 08:00:00+0000
GUSDT,0.0001,2024-10-02 16:00:00+0000
GUSDT,-0.00012074,2024-10-03 00:00:00+0000
GUSDT,-0.00023213,2024-10-03 08:00:00+0000
GUSDT,-0.00015194,2024-10-03 16:00:00+0000
GUSDT,-2.442e-05,2024-10-04 00:00:00+0000
GUSDT,0.0001,2024-10-04 08:00:00+0000
GUSDT,6.51e-05,2024-10-04 16:00:00+0000
GUSDT,3.055e-05,2024-10-05 00:00:00+0000
GUSDT,0.0001,2024-10-05 08:00:00+0000
GUSDT,0.0001,2024-10-05 16:00:00+0000
GUSDT,-2.115e-05,2024-10-06 00:00:00+0000
GUSDT,7.003e-05,2024-10-06 08:00:00+0000
GUSDT,0.0001,2024-10-06 16:00:00+0000
GUSDT,0.0001,2024-10-07 00:00:00+0000
GUSDT,3.1e-06,2024-10-07 08:00:00+0000
GUSDT,0.0001,2024-10-07 16:00:00+0000
GUSDT,-0.00017711,2024-10-08 00:00:00+0000
GUSDT,0.0001,2024-10-08 08:00:00+0000
GUSDT,-4.431e-05,2024-10-08 16:00:00+0000
GUSDT,-6.603e-05,2024-10-09 00:00:00+0000
GUSDT,-0.00017248,2024-10-09 08:00:00+0000
GUSDT,-0.00014361,2024-10-09 16:00:00+0000
GUSDT,-2.016e-05,2024-10-10 00:00:00+0000
GUSDT,-0.00015522,2024-10-10 08:00:00+0000
GUSDT,-0.00011643,2024-10-10 16:00:00+0000
GUSDT,-7.161e-05,2024-10-11 00:00:00+0000
GUSDT,1.987e-05,2024-10-11 08:00:00+0000
GUSDT,5.55e-05,2024-10-11 16:00:00+0000
GUSDT,-0.00016873,2024-10-12 00:00:00+0000
GUSDT,2.243e-05,2024-10-12 08:00:00+0000
GUSDT,-2.274e-05,2024-10-12 16:00:00+0000
GUSDT,0.0001,2024-10-13 00:00:00+0000
GUSDT,-7.733e-05,2024-10-13 08:00:00+0000
GUSDT,-0.00029378,2024-10-13 16:00:00+0000
GUSDT,-0.00012029,2024-10-14 00:00:00+0000
GUSDT,-0.00013735,2024-10-14 08:00:00+0000
GUSDT,6.031e-05,2024-10-14 16:00:00+0000
GUSDT,0.0001,2024-10-15 00:00:00+0000
GUSDT,-0.00026232,2024-10-15 08:00:00+0000
GUSDT,6.344e-05,2024-10-15 16:00:00+0000
GUSDT,-8.549e-05,2024-10-16 00:00:00+0000
GUSDT,-0.00013502,2024-10-16 08:00:00+0000
GUSDT,0.0001,2024-10-16 16:00:00+0000
GUSDT,1.153e-05,2024-10-17 00:00:00+0000
GUSDT,0.0001,2024-10-17 08:00:00+0000
GUSDT,0.0001,2024-10-17 16:00:00+0000
GUSDT,0.0001,2024-10-18 00:00:00+0000
GUSDT,0.0001,2024-10-18 08:00:00+0000
GUSDT,0.0001,2024-10-18 16:00:00+0000
GUSDT,0.0001,2024-10-19 00:00:00+0000
GUSDT,0.0001,2024-10-19 08:00:00+0000
GUSDT,0.0001,2024-10-19 16:00:00+0000
GUSDT,0.0001,2024-10-20 00:00:00+0000
GUSDT,0.0001,2024-10-20 08:00:00+0000
GUSDT,0.0001,2024-10-20 16:00:00+0000
GUSDT,0.0001,2024-10-21 00:00:00+0000
GUSDT,0.0001,2024-10-21 08:00:00+0000
GUSDT,0.0001,2024-10-21 16:00:00+0000
GUSDT,0.0001,2024-10-22 00:00:00+0000
GUSDT,0.0001,2024-10-22 08:00:00+0000
GUSDT,0.0001,2024-10-22 16:00:00+0000
GUSDT,0.0001,2024-10-23 00:00:00+0000
