symbol,fundingRate,fundingRateTimestamp
JTOUSDT,0.0001,2023-12-08 00:00:00+0000
JTOUSDT,0.00083223,2023-12-08 08:00:00+0000
JTOUSDT,0.00030282,2023-12-08 16:00:00+0000
JTOUSDT,0.0007473,2023-12-09 00:00:00+0000
JTOUSDT,0.0007861,2023-12-09 08:00:00+0000
JTOUSDT,0.00041878,2023-12-09 16:00:00+0000
JTOUSDT,0.00051631,2023-12-10 00:00:00+0000
JTOUSDT,0.00069015,2023-12-10 08:00:00+0000
JTOUSDT,0.00065519,2023-12-10 16:00:00+0000
JTOUSDT,0.00079546,2023-12-11 00:00:00+0000
JTOUSDT,0.0001,2023-12-11 08:00:00+0000
JTOUSDT,0.0001,2023-12-11 16:00:00+0000
JTOUSDT,0.0001,2023-12-12 00:00:00+0000
JTOUSDT,0.0001,2023-12-12 08:00:00+0000
JTOUSDT,0.00040366,2023-12-12 16:00:00+0000
JTOUSDT,0.00012531,2023-12-13 00:00:00+0000
JTOUSDT,0.0001,2023-12-13 08:00:00+0000
JTOUSDT,0.0001,2023-12-13 16:00:00+0000
JTOUSDT,0.00025998,2023-12-14 00:00:00+0000
JTOUSDT,0.0006012,2023-12-14 08:00:00+0000
JTOUSDT,0.0006848,2023-12-14 16:00:00+0000
JTOUSDT,0.00085935,2023-12-15 00:00:00+0000
JTOUSDT,0.00093605,2023-12-15 08:00:00+0000
JTOUSDT,0.00120815,2023-12-15 16:00:00+0000
JTOUSDT,0.00075435,2023-12-16 00:00:00+0000
JTOUSDT,0.00033036,2023-12-16 08:00:00+0000
JTOUSDT,0.00054508,2023-12-16 16:00:00+0000
JTOUSDT,0.00024917,2023-12-17 00:00:00+0000
JTOUSDT,0.00025107,2023-12-17 08:00:00+0000
JTOUSDT,0.00021903,2023-12-17 16:00:00+0000
JTOUSDT,0.00024965,2023-12-18 00:00:00+0000
JTOUSDT,0.00012384,2023-12-18 08:00:00+0000
JTOUSDT,0.0001,2023-12-18 16:00:00+0000
JTOUSDT,0.0001,2023-12-19 00:00:00+0000
JTOUSDT,0.00031351,2023-12-19 08:00:00+0000
JTOUSDT,0.00049898,2023-12-19 16:00:00+0000
JTOUSDT,0.00047173,2023-12-20 00:00:00+0000
JTOUSDT,0.00057493,2023-12-20 08:00:00+0000
JTOUSDT,0.0005427,2023-12-20 16:00:00+0000
JTOUSDT,0.00059069,2023-12-21 00:00:00+0000
JTOUSDT,0.00042937,2023-12-21 08:00:00+0000
JTOUSDT,0.00067604,2023-12-21 16:00:00+0000
JTOUSDT,0.00089174,2023-12-22 00:00:00+0000
JTOUSDT,0.00075652,2023-12-22 08:00:00+0000
JTOUSDT,0.00032809,2023-12-22 16:00:00+0000
JTOUSDT,0.00056161,2023-12-23 00:00:00+0000
JTOUSDT,0.00046021,2023-12-23 08:00:00+0000
JTOUSDT,0.00038473,2023-12-23 16:00:00+0000
JTOUSDT,0.00071948,2023-12-24 00:00:00+0000
JTOUSDT,0.00056267,2023-12-24 08:00:00+0000
JTOUSDT,0.00057196,2023-12-24 16:00:00+0000
JTOUSDT,0.00037629,2023-12-25 00:00:00+0000
JTOUSDT,0.00050474,2023-12-25 08:00:00+0000
JTOUSDT,0.00071721,2023-12-25 16:00:00+0000
JTOUSDT,0.00041586,2023-12-26 00:00:00+0000
JTOUSDT,0.0005403,2023-12-26 08:00:00+0000
JTOUSDT,0.00065913,2023-12-26 16:00:00+0000
JTOUSDT,0.0001993,2023-12-27 00:00:00+0000
JTOUSDT,0.00022647,2023-12-27 08:00:00+0000
JTOUSDT,0.00102379,2023-12-27 16:00:00+0000
JTOUSDT,0.00108455,2023-12-28 00:00:00+0000
JTOUSDT,0.00092117,2023-12-28 08:00:00+0000
JTOUSDT,0.00090419,2023-12-28 16:00:00+0000
JTOUSDT,0.00058143,2023-12-29 00:00:00+0000
JTOUSDT,0.00035381,2023-12-29 08:00:00+0000
JTOUSDT,0.00064296,2023-12-29 16:00:00+0000
JTOUSDT,0.00024951,2023-12-30 00:00:00+0000
JTOUSDT,0.00039741,2023-12-30 08:00:00+0000
JTOUSDT,0.00044807,2023-12-30 16:00:00+0000
JTOUSDT,0.00056742,2023-12-31 00:00:00+0000
JTOUSDT,0.00036467,2023-12-31 08:00:00+0000
JTOUSDT,0.00066633,2023-12-31 16:00:00+0000
JTOUSDT,0.00032813,2024-01-01 00:00:00+0000
JTOUSDT,0.0001,2024-01-01 08:00:00+0000
JTOUSDT,0.0001,2024-01-01 16:00:00+0000
JTOUSDT,0.0001,2024-01-02 00:00:00+0000
JTOUSDT,0.00067289,2024-01-02 08:00:00+0000
JTOUSDT,0.00057035,2024-01-02 16:00:00+0000
JTOUSDT,0.00024838,2024-01-03 00:00:00+0000
JTOUSDT,0.0006677,2024-01-03 08:00:00+0000
JTOUSDT,0.0001145,2024-01-03 16:00:00+0000
