symbol,fundingRate,fundingRateTimestamp
LAUNCHCOINUSDT,-0.00190854,2025-05-14 12:00:00+0000
LAUNCHCOINUSDT,5e-05,2025-05-14 16:00:00+0000
LAUNCHCOINUSDT,0.00083929,2025-05-14 20:00:00+0000
LAUNCHCOINUSDT,-0.00036761,2025-05-15 00:00:00+0000
LAUNCHCOINUSDT,0.00060768,2025-05-15 04:00:00+0000
LAUNCHCOINUSDT,5e-05,2025-05-15 08:00:00+0000
LAUNCHCOINUSDT,5e-05,2025-05-15 12:00:00+0000
LAUNCHCOINUSDT,5e-05,2025-05-15 16:00:00+0000
LAUNCHCOINUSDT,0.00193113,2025-05-15 20:00:00+0000
LAUNCHCOINUSDT,0.00085784,2025-05-16 00:00:00+0000
