symbol,fundingRate,fundingRateTimestamp
MAGICUSDT,0.0001,2023-01-01 00:00:00+0000
MAGICUSDT,-0.00038804,2023-01-01 08:00:00+0000
MAGICUSDT,-0.0023902,2023-01-01 16:00:00+0000
MAGICUSDT,-0.00530164,2023-01-02 00:00:00+0000
MAGICUSDT,-0.00315925,2023-01-02 08:00:00+0000
MAGICUSDT,-0.00103274,2023-01-02 16:00:00+0000
MAGICUSDT,-0.00083467,2023-01-03 00:00:00+0000
MAGICUSDT,-0.00011343,2023-01-03 08:00:00+0000
MAGICUSDT,-0.00084201,2023-01-03 16:00:00+0000
MAGICUSDT,2.985e-05,2023-01-04 00:00:00+0000
MAGICUSDT,0.0001,2023-01-04 08:00:00+0000
MAGICUSDT,-0.0001461,2023-01-04 16:00:00+0000
MAGICUSDT,0.0001,2023-01-05 00:00:00+0000
MAGICUSDT,0.0001,2023-01-05 08:00:00+0000
MAGICUSDT,0.0001,2023-01-05 16:00:00+0000
MAGICUSDT,7.139e-05,2023-01-06 00:00:00+0000
MAGICUSDT,-0.00082252,2023-01-06 08:00:00+0000
MAGICUSDT,-0.00142975,2023-01-06 16:00:00+0000
MAGICUSDT,-0.00044706,2023-01-07 00:00:00+0000
MAGICUSDT,-0.00032076,2023-01-07 08:00:00+0000
MAGICUSDT,-0.00165723,2023-01-07 16:00:00+0000
MAGICUSDT,-0.00169627,2023-01-08 00:00:00+0000
MAGICUSDT,-0.00247605,2023-01-08 08:00:00+0000
MAGICUSDT,-0.00161517,2023-01-08 16:00:00+0000
MAGICUSDT,-0.00091778,2023-01-09 00:00:00+0000
MAGICUSDT,-0.0025933,2023-01-09 08:00:00+0000
MAGICUSDT,0.0001,2023-01-09 16:00:00+0000
MAGICUSDT,-9.261e-05,2023-01-10 00:00:00+0000
MAGICUSDT,-0.00083497,2023-01-10 08:00:00+0000
MAGICUSDT,-0.00060883,2023-01-10 16:00:00+0000
MAGICUSDT,0.0001,2023-01-11 00:00:00+0000
MAGICUSDT,0.0001,2023-01-11 08:00:00+0000
MAGICUSDT,8.426e-05,2023-01-11 16:00:00+0000
MAGICUSDT,-0.00127661,2023-01-12 00:00:00+0000
MAGICUSDT,-0.00152053,2023-01-12 08:00:00+0000
MAGICUSDT,-0.0006622,2023-01-12 16:00:00+0000
MAGICUSDT,9.99e-06,2023-01-13 00:00:00+0000
MAGICUSDT,-0.00062408,2023-01-13 08:00:00+0000
MAGICUSDT,-0.00073914,2023-01-13 16:00:00+0000
MAGICUSDT,-0.00342696,2023-01-14 00:00:00+0000
MAGICUSDT,0.0001,2023-01-14 08:00:00+0000
MAGICUSDT,0.0001,2023-01-14 16:00:00+0000
MAGICUSDT,0.00054571,2023-01-15 00:00:00+0000
MAGICUSDT,0.0001,2023-01-15 08:00:00+0000
MAGICUSDT,0.0001,2023-01-15 16:00:00+0000
MAGICUSDT,0.00043919,2023-01-16 00:00:00+0000
MAGICUSDT,0.00020916,2023-01-16 08:00:00+0000
MAGICUSDT,0.00035503,2023-01-16 16:00:00+0000
MAGICUSDT,0.0001,2023-01-17 00:00:00+0000
MAGICUSDT,0.0001,2023-01-17 08:00:00+0000
MAGICUSDT,0.0001,2023-01-17 16:00:00+0000
MAGICUSDT,0.0001,2023-01-18 00:00:00+0000
MAGICUSDT,0.0001,2023-01-18 08:00:00+0000
MAGICUSDT,0.00020317,2023-01-18 16:00:00+0000
MAGICUSDT,-0.0004903,2023-01-19 00:00:00+0000
MAGICUSDT,-0.00053642,2023-01-19 08:00:00+0000
MAGICUSDT,-0.00077669,2023-01-19 16:00:00+0000
MAGICUSDT,-0.00264868,2023-01-20 00:00:00+0000
MAGICUSDT,-0.00130841,2023-01-20 08:00:00+0000
MAGICUSDT,-0.00601885,2023-01-20 16:00:00+0000
MAGICUSDT,-0.00030909,2023-01-21 00:00:00+0000
MAGICUSDT,0.00069331,2023-01-21 08:00:00+0000
MAGICUSDT,0.0001,2023-01-21 16:00:00+0000
MAGICUSDT,0.0001,2023-01-22 00:00:00+0000
MAGICUSDT,-0.0011973,2023-01-22 08:00:00+0000
MAGICUSDT,-0.00045965,2023-01-22 16:00:00+0000
MAGICUSDT,0.00094538,2023-01-23 00:00:00+0000
MAGICUSDT,0.0001,2023-01-23 08:00:00+0000
MAGICUSDT,0.0001,2023-01-23 16:00:00+0000
