symbol,fundingRate,fundingRateTimestamp
MELANIAUSDT,0.0059727,2025-01-20 08:00:00+0000
MELANIAUSDT,0.00149872,2025-01-20 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-20 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-20 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-21 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-22 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-23 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-24 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-25 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 12:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-26 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-27 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-27 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-27 08:00:00+0000
MELANIAUSDT,0.00015956,2025-01-27 12:00:00+0000
MELANIAUSDT,0.00018371,2025-01-27 16:00:00+0000
MELANIAUSDT,0.00015476,2025-01-27 20:00:00+0000
MELANIAUSDT,0.0003081,2025-01-28 00:00:00+0000
MELANIAUSDT,0.00016368,2025-01-28 04:00:00+0000
MELANIAUSDT,0.0001516,2025-01-28 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-28 12:00:00+0000
MELANIAUSDT,0.00012679,2025-01-28 16:00:00+0000
MELANIAUSDT,0.00025045,2025-01-28 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-29 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-29 04:00:00+0000
MELANIAUSDT,0.00026126,2025-01-29 08:00:00+0000
MELANIAUSDT,0.00028219,2025-01-29 12:00:00+0000
MELANIAUSDT,9.987e-05,2025-01-29 16:00:00+0000
MELANIAUSDT,0.00018216,2025-01-29 20:00:00+0000
MELANIAUSDT,8.325e-05,2025-01-30 00:00:00+0000
MELANIAUSDT,0.00014737,2025-01-30 04:00:00+0000
MELANIAUSDT,0.00016576,2025-01-30 08:00:00+0000
MELANIAUSDT,5e-05,2025-01-30 12:00:00+0000
MELANIAUSDT,5.409e-05,2025-01-30 16:00:00+0000
MELANIAUSDT,9.644e-05,2025-01-30 20:00:00+0000
MELANIAUSDT,5e-05,2025-01-31 00:00:00+0000
MELANIAUSDT,5e-05,2025-01-31 04:00:00+0000
MELANIAUSDT,5e-05,2025-01-31 08:00:00+0000
MELANIAUSDT,0.00011079,2025-01-31 12:00:00+0000
MELANIAUSDT,0.00033541,2025-01-31 16:00:00+0000
MELANIAUSDT,5e-05,2025-01-31 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-01 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-01 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-01 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-01 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-01 16:00:00+0000
MELANIAUSDT,-0.00050983,2025-02-01 20:00:00+0000
MELANIAUSDT,-3.026e-05,2025-02-02 00:00:00+0000
MELANIAUSDT,-0.00051099,2025-02-02 04:00:00+0000
MELANIAUSDT,-6.295e-05,2025-02-02 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-02 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-02 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-02 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-03 00:00:00+0000
MELANIAUSDT,-0.0024577,2025-02-03 04:00:00+0000
MELANIAUSDT,-0.00059512,2025-02-03 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-03 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-03 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-03 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-04 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-04 04:00:00+0000
MELANIAUSDT,-0.00134045,2025-02-04 08:00:00+0000
MELANIAUSDT,-0.00269542,2025-02-04 12:00:00+0000
MELANIAUSDT,-0.00040317,2025-02-04 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-04 20:00:00+0000
MELANIAUSDT,-5.23e-06,2025-02-05 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-05 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-05 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-05 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-05 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-05 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-06 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-06 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-06 08:00:00+0000
MELANIAUSDT,-8.88e-05,2025-02-06 12:00:00+0000
MELANIAUSDT,-0.0002261,2025-02-06 16:00:00+0000
MELANIAUSDT,-0.00030846,2025-02-06 20:00:00+0000
MELANIAUSDT,-0.00054617,2025-02-07 00:00:00+0000
MELANIAUSDT,-0.00101086,2025-02-07 04:00:00+0000
MELANIAUSDT,-0.00069997,2025-02-07 08:00:00+0000
MELANIAUSDT,-0.00016249,2025-02-07 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-07 16:00:00+0000
MELANIAUSDT,-0.00074657,2025-02-07 20:00:00+0000
MELANIAUSDT,-0.00229527,2025-02-08 00:00:00+0000
MELANIAUSDT,-0.00041328,2025-02-08 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-08 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-08 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-08 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-08 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-09 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-09 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-09 08:00:00+0000
MELANIAUSDT,-0.00012903,2025-02-09 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-09 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-09 20:00:00+0000
MELANIAUSDT,-0.00087111,2025-02-10 00:00:00+0000
MELANIAUSDT,-2.08e-06,2025-02-10 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-10 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-10 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-10 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-10 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-11 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-11 04:00:00+0000
MELANIAUSDT,5e-05,2025-02-11 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-11 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-11 16:00:00+0000
MELANIAUSDT,-0.00022647,2025-02-11 20:00:00+0000
MELANIAUSDT,-6.393e-05,2025-02-12 00:00:00+0000
MELANIAUSDT,-0.00020806,2025-02-12 04:00:00+0000
MELANIAUSDT,-2.381e-05,2025-02-12 08:00:00+0000
MELANIAUSDT,5e-05,2025-02-12 12:00:00+0000
MELANIAUSDT,5e-05,2025-02-12 16:00:00+0000
MELANIAUSDT,5e-05,2025-02-12 20:00:00+0000
MELANIAUSDT,5e-05,2025-02-13 00:00:00+0000
MELANIAUSDT,5e-05,2025-02-13 04:00:00+0000
MELANIAUSDT,-0.00012789,2025-02-13 08:00:00+0000
