symbol,fundingRate,fundingRateTimestamp
MOBILEUSDT,0.00495021,2024-02-22 16:00:00+0000
MOBILEUSDT,0.00176778,2024-02-23 00:00:00+0000
MOBILEUSDT,0.00060067,2024-02-23 08:00:00+0000
MOBILEUSDT,0.00102409,2024-02-23 16:00:00+0000
MOBILEUSDT,0.0001,2024-02-24 00:00:00+0000
MOBILEUSDT,0.0001,2024-02-24 08:00:00+0000
MOBILEUSDT,0.0001,2024-02-24 16:00:00+0000
MOBILEUSDT,0.0007615,2024-02-25 00:00:00+0000
MOBILEUSDT,0.00051841,2024-02-25 08:00:00+0000
MOBILEUSDT,0.00042681,2024-02-25 16:00:00+0000
MOBILEUSDT,0.00038056,2024-02-26 00:00:00+0000
MOBILEUSDT,0.00076835,2024-02-26 08:00:00+0000
MOBILEUSDT,0.00066721,2024-02-26 16:00:00+0000
MOBILEUSDT,0.00159188,2024-02-27 00:00:00+0000
MOBILEUSDT,0.00085893,2024-02-27 08:00:00+0000
MOBILEUSDT,0.00090356,2024-02-27 16:00:00+0000
MOBILEUSDT,0.00133563,2024-02-28 00:00:00+0000
MOBILEUSDT,0.0009532,2024-02-28 08:00:00+0000
MOBILEUSDT,0.00119066,2024-02-28 16:00:00+0000
MOBILEUSDT,0.0001,2024-02-29 00:00:00+0000
MOBILEUSDT,0.00052605,2024-02-29 08:00:00+0000
MOBILEUSDT,0.0001213,2024-02-29 16:00:00+0000
MOBILEUSDT,0.00059098,2024-03-01 00:00:00+0000
MOBILEUSDT,0.0001,2024-03-01 08:00:00+0000
MOBILEUSDT,0.00113078,2024-03-01 16:00:00+0000
MOBILEUSDT,0.00231101,2024-03-02 00:00:00+0000
MOBILEUSDT,0.00363073,2024-03-02 08:00:00+0000
MOBILEUSDT,0.00347778,2024-03-02 16:00:00+0000
MOBILEUSDT,0.00282131,2024-03-03 00:00:00+0000
MOBILEUSDT,0.00335042,2024-03-03 08:00:00+0000
MOBILEUSDT,0.00096737,2024-03-03 16:00:00+0000
MOBILEUSDT,0.00182638,2024-03-04 00:00:00+0000
MOBILEUSDT,0.00155653,2024-03-04 08:00:00+0000
MOBILEUSDT,0.00224761,2024-03-04 16:00:00+0000
MOBILEUSDT,0.00286452,2024-03-05 00:00:00+0000
MOBILEUSDT,0.00340555,2024-03-05 08:00:00+0000
MOBILEUSDT,0.00562678,2024-03-05 16:00:00+0000
MOBILEUSDT,0.0001,2024-03-06 00:00:00+0000
MOBILEUSDT,0.00026819,2024-03-06 08:00:00+0000
MOBILEUSDT,0.00138597,2024-03-06 16:00:00+0000
MOBILEUSDT,0.0006917,2024-03-07 00:00:00+0000
MOBILEUSDT,0.00016255,2024-03-07 08:00:00+0000
MOBILEUSDT,0.00041904,2024-03-07 16:00:00+0000
MOBILEUSDT,0.00066075,2024-03-08 00:00:00+0000
MOBILEUSDT,0.00068705,2024-03-08 08:00:00+0000
MOBILEUSDT,0.00170225,2024-03-08 16:00:00+0000
MOBILEUSDT,0.00144534,2024-03-09 00:00:00+0000
MOBILEUSDT,0.00297922,2024-03-09 08:00:00+0000
MOBILEUSDT,0.00342066,2024-03-09 16:00:00+0000
MOBILEUSDT,0.00449165,2024-03-10 00:00:00+0000
MOBILEUSDT,0.00299262,2024-03-10 08:00:00+0000
MOBILEUSDT,0.00212945,2024-03-10 16:00:00+0000
MOBILEUSDT,0.00063737,2024-03-11 00:00:00+0000
MOBILEUSDT,0.00067834,2024-03-11 08:00:00+0000
MOBILEUSDT,0.00088812,2024-03-11 16:00:00+0000
MOBILEUSDT,0.00091083,2024-03-12 00:00:00+0000
MOBILEUSDT,0.00105852,2024-03-12 08:00:00+0000
MOBILEUSDT,0.00125158,2024-03-12 16:00:00+0000
MOBILEUSDT,0.00096155,2024-03-13 00:00:00+0000
MOBILEUSDT,0.00096762,2024-03-13 08:00:00+0000
MOBILEUSDT,0.00132396,2024-03-13 16:00:00+0000
MOBILEUSDT,0.00086481,2024-03-14 00:00:00+0000
MOBILEUSDT,0.00235678,2024-03-14 08:00:00+0000
MOBILEUSDT,0.00110819,2024-03-14 16:00:00+0000
MOBILEUSDT,0.00037174,2024-03-15 00:00:00+0000
MOBILEUSDT,0.00038991,2024-03-15 08:00:00+0000
MOBILEUSDT,0.0001,2024-03-15 16:00:00+0000
MOBILEUSDT,0.00044286,2024-03-16 00:00:00+0000
MOBILEUSDT,0.0001,2024-03-16 08:00:00+0000
MOBILEUSDT,0.00085359,2024-03-16 16:00:00+0000
MOBILEUSDT,0.00052922,2024-03-17 00:00:00+0000
MOBILEUSDT,0.0001,2024-03-17 08:00:00+0000
MOBILEUSDT,0.0001,2024-03-17 16:00:00+0000
MOBILEUSDT,0.0001,2024-03-18 00:00:00+0000
MOBILEUSDT,0.0001,2024-03-18 08:00:00+0000
MOBILEUSDT,0.0001,2024-03-18 16:00:00+0000
MOBILEUSDT,0.0001,2024-03-19 00:00:00+0000
MOBILEUSDT,0.0001,2024-03-19 08:00:00+0000
MOBILEUSDT,0.0001,2024-03-19 16:00:00+0000
MOBILEUSDT,0.0001,2024-03-20 00:00:00+0000
