symbol,fundingRate,fundingRateTimestamp
MYROUSDT,0.0001,2024-01-19 08:00:00+0000
MYROUSDT,-0.0135853,2024-01-19 16:00:00+0000
MYROUSDT,-0.015,2024-01-20 00:00:00+0000
MYROUSDT,-0.02,2024-01-20 08:00:00+0000
MYROUSDT,-0.02,2024-01-20 12:00:00+0000
MYROUSDT,-0.02,2024-01-20 16:00:00+0000
MYROUSDT,-0.02,2024-01-20 20:00:00+0000
MYROUSDT,-0.02,2024-01-21 00:00:00+0000
MYROUSDT,-0.02,2024-01-21 04:00:00+0000
MYROUSDT,-0.00750488,2024-01-21 08:00:00+0000
MYROUSDT,-0.00611639,2024-01-21 12:00:00+0000
MYROUSDT,-0.0005017,2024-01-21 16:00:00+0000
MYROUSDT,5e-05,2024-01-21 20:00:00+0000
MYROUSDT,-0.00073215,2024-01-22 00:00:00+0000
MYROUSDT,-0.00329962,2024-01-22 04:00:00+0000
MYROUSDT,-0.00596807,2024-01-22 08:00:00+0000
MYROUSDT,-0.00965661,2024-01-22 12:00:00+0000
MYROUSDT,5e-05,2024-01-22 16:00:00+0000
MYROUSDT,-0.00027181,2024-01-22 20:00:00+0000
MYROUSDT,5e-05,2024-01-23 00:00:00+0000
MYROUSDT,-0.00103444,2024-01-23 04:00:00+0000
MYROUSDT,-0.00043958,2024-01-23 08:00:00+0000
MYROUSDT,5e-05,2024-01-23 12:00:00+0000
MYROUSDT,5e-05,2024-01-23 16:00:00+0000
MYROUSDT,5e-05,2024-01-23 20:00:00+0000
MYROUSDT,-0.00788667,2024-01-24 00:00:00+0000
MYROUSDT,-0.00252793,2024-01-24 04:00:00+0000
MYROUSDT,-2.663e-05,2024-01-24 08:00:00+0000
MYROUSDT,7.66e-06,2024-01-24 12:00:00+0000
MYROUSDT,5e-05,2024-01-24 16:00:00+0000
MYROUSDT,5e-05,2024-01-24 20:00:00+0000
MYROUSDT,5e-05,2024-01-25 00:00:00+0000
MYROUSDT,5e-05,2024-01-25 04:00:00+0000
MYROUSDT,5e-05,2024-01-25 08:00:00+0000
MYROUSDT,5e-05,2024-01-25 12:00:00+0000
MYROUSDT,5e-05,2024-01-25 16:00:00+0000
MYROUSDT,5e-05,2024-01-25 20:00:00+0000
MYROUSDT,5e-05,2024-01-26 00:00:00+0000
MYROUSDT,5e-05,2024-01-26 04:00:00+0000
MYROUSDT,5e-05,2024-01-26 08:00:00+0000
MYROUSDT,5e-05,2024-01-26 12:00:00+0000
MYROUSDT,5e-05,2024-01-26 16:00:00+0000
MYROUSDT,5e-05,2024-01-26 20:00:00+0000
MYROUSDT,5e-05,2024-01-27 00:00:00+0000
MYROUSDT,5e-05,2024-01-27 04:00:00+0000
MYROUSDT,5e-05,2024-01-27 08:00:00+0000
MYROUSDT,5e-05,2024-01-27 12:00:00+0000
MYROUSDT,5e-05,2024-01-27 16:00:00+0000
MYROUSDT,5e-05,2024-01-27 20:00:00+0000
MYROUSDT,5e-05,2024-01-28 00:00:00+0000
MYROUSDT,5e-05,2024-01-28 04:00:00+0000
MYROUSDT,5e-05,2024-01-28 08:00:00+0000
MYROUSDT,5e-05,2024-01-28 12:00:00+0000
MYROUSDT,5e-05,2024-01-28 16:00:00+0000
MYROUSDT,5e-05,2024-01-28 20:00:00+0000
MYROUSDT,9.783e-05,2024-01-29 00:00:00+0000
MYROUSDT,9.069e-05,2024-01-29 04:00:00+0000
MYROUSDT,0.0001636,2024-01-29 08:00:00+0000
MYROUSDT,5.654e-05,2024-01-29 12:00:00+0000
MYROUSDT,5e-05,2024-01-29 16:00:00+0000
MYROUSDT,-0.0002855,2024-01-29 20:00:00+0000
MYROUSDT,5e-05,2024-01-30 00:00:00+0000
MYROUSDT,0.00014981,2024-01-30 04:00:00+0000
MYROUSDT,0.00069376,2024-01-30 08:00:00+0000
MYROUSDT,0.00043231,2024-01-30 12:00:00+0000
MYROUSDT,0.00041298,2024-01-30 16:00:00+0000
MYROUSDT,5e-05,2024-01-30 20:00:00+0000
MYROUSDT,5e-05,2024-01-31 00:00:00+0000
MYROUSDT,5e-05,2024-01-31 04:00:00+0000
MYROUSDT,5e-05,2024-01-31 08:00:00+0000
MYROUSDT,5e-05,2024-01-31 12:00:00+0000
MYROUSDT,5e-05,2024-01-31 16:00:00+0000
MYROUSDT,0.00014845,2024-01-31 20:00:00+0000
MYROUSDT,0.00018821,2024-02-01 00:00:00+0000
MYROUSDT,5e-05,2024-02-01 04:00:00+0000
MYROUSDT,0.00015152,2024-02-01 08:00:00+0000
MYROUSDT,5e-05,2024-02-01 12:00:00+0000
MYROUSDT,5e-05,2024-02-01 16:00:00+0000
MYROUSDT,5e-05,2024-02-01 20:00:00+0000
MYROUSDT,0.00086837,2024-02-02 00:00:00+0000
MYROUSDT,5e-05,2024-02-02 04:00:00+0000
MYROUSDT,5e-05,2024-02-02 08:00:00+0000
MYROUSDT,6.188e-05,2024-02-02 12:00:00+0000
MYROUSDT,8.293e-05,2024-02-02 16:00:00+0000
MYROUSDT,0.00014598,2024-02-02 20:00:00+0000
MYROUSDT,0.00026849,2024-02-03 00:00:00+0000
MYROUSDT,0.00032492,2024-02-03 04:00:00+0000
MYROUSDT,0.00046766,2024-02-03 08:00:00+0000
MYROUSDT,0.00016042,2024-02-03 12:00:00+0000
MYROUSDT,5e-05,2024-02-03 16:00:00+0000
MYROUSDT,0.0001089,2024-02-03 20:00:00+0000
MYROUSDT,5e-05,2024-02-04 00:00:00+0000
MYROUSDT,5e-05,2024-02-04 04:00:00+0000
MYROUSDT,5e-05,2024-02-04 08:00:00+0000
MYROUSDT,-5.039e-05,2024-02-04 12:00:00+0000
MYROUSDT,5e-05,2024-02-04 16:00:00+0000
