symbol,fundingRate,fundingRateTimestamp
OBTUSDT,5e-05,2025-04-25 12:00:00+0000
OBTUSDT,5e-05,2025-04-25 16:00:00+0000
OBTUSDT,5e-05,2025-04-25 20:00:00+0000
OBTUSDT,5e-05,2025-04-26 00:00:00+0000
OBTUSDT,5e-05,2025-04-26 04:00:00+0000
OBTUSDT,5e-05,2025-04-26 08:00:00+0000
OBTUSDT,5e-05,2025-04-26 12:00:00+0000
OBTUSDT,5e-05,2025-04-26 16:00:00+0000
OBTUSDT,5e-05,2025-04-26 20:00:00+0000
OBTUSDT,5e-05,2025-04-27 00:00:00+0000
OBTUSDT,-0.00010223,2025-04-27 04:00:00+0000
OBTUSDT,-0.00081055,2025-04-27 08:00:00+0000
OBTUSDT,5e-05,2025-04-27 12:00:00+0000
OBTUSDT,-0.00311457,2025-04-27 16:00:00+0000
OBTUSDT,-0.00084542,2025-04-27 20:00:00+0000
OBTUSDT,5e-05,2025-04-28 00:00:00+0000
OBTUSDT,5e-05,2025-04-28 04:00:00+0000
OBTUSDT,-4.16e-06,2025-04-28 08:00:00+0000
OBTUSDT,5e-05,2025-04-28 12:00:00+0000
OBTUSDT,-0.00155232,2025-04-28 16:00:00+0000
OBTUSDT,5e-05,2025-04-28 20:00:00+0000
OBTUSDT,5e-05,2025-04-29 00:00:00+0000
OBTUSDT,4.249e-05,2025-04-29 04:00:00+0000
OBTUSDT,5e-05,2025-04-29 08:00:00+0000
OBTUSDT,-0.00078311,2025-04-29 12:00:00+0000
OBTUSDT,-0.00409469,2025-04-29 16:00:00+0000
OBTUSDT,-8.22e-05,2025-04-29 20:00:00+0000
OBTUSDT,-0.0010658,2025-04-30 00:00:00+0000
OBTUSDT,5e-05,2025-04-30 04:00:00+0000
OBTUSDT,5e-05,2025-04-30 08:00:00+0000
OBTUSDT,5e-05,2025-04-30 12:00:00+0000
OBTUSDT,-9.5e-07,2025-04-30 16:00:00+0000
OBTUSDT,5e-05,2025-04-30 20:00:00+0000
OBTUSDT,2.539e-05,2025-05-01 00:00:00+0000
OBTUSDT,-0.00094346,2025-05-01 04:00:00+0000
OBTUSDT,-0.00057404,2025-05-01 08:00:00+0000
OBTUSDT,-0.00125807,2025-05-01 12:00:00+0000
OBTUSDT,5e-05,2025-05-01 16:00:00+0000
OBTUSDT,-0.00034769,2025-05-01 20:00:00+0000
OBTUSDT,-0.00281278,2025-05-02 00:00:00+0000
OBTUSDT,-0.00128402,2025-05-02 04:00:00+0000
OBTUSDT,-0.00108063,2025-05-02 08:00:00+0000
OBTUSDT,-0.00067866,2025-05-02 12:00:00+0000
OBTUSDT,-0.00023144,2025-05-02 16:00:00+0000
OBTUSDT,-0.00024431,2025-05-02 20:00:00+0000
OBTUSDT,5e-05,2025-05-03 00:00:00+0000
OBTUSDT,-0.00099946,2025-05-03 04:00:00+0000
OBTUSDT,-0.0009043,2025-05-03 08:00:00+0000
OBTUSDT,-0.001049,2025-05-03 12:00:00+0000
OBTUSDT,5e-05,2025-05-03 16:00:00+0000
OBTUSDT,-0.00117049,2025-05-03 20:00:00+0000
OBTUSDT,-5.516e-05,2025-05-04 00:00:00+0000
OBTUSDT,-0.00133597,2025-05-04 04:00:00+0000
OBTUSDT,-0.00195279,2025-05-04 08:00:00+0000
OBTUSDT,-0.00033882,2025-05-04 12:00:00+0000
OBTUSDT,-0.00118563,2025-05-04 16:00:00+0000
OBTUSDT,-0.00238979,2025-05-04 20:00:00+0000
OBTUSDT,-0.00062433,2025-05-05 00:00:00+0000
OBTUSDT,5e-05,2025-05-05 04:00:00+0000
OBTUSDT,5e-05,2025-05-05 08:00:00+0000
OBTUSDT,-0.00204797,2025-05-05 12:00:00+0000
OBTUSDT,-0.00052269,2025-05-05 16:00:00+0000
OBTUSDT,5e-05,2025-05-05 20:00:00+0000
OBTUSDT,5e-05,2025-05-06 00:00:00+0000
OBTUSDT,5e-05,2025-05-06 04:00:00+0000
OBTUSDT,5e-05,2025-05-06 08:00:00+0000
OBTUSDT,-0.00096147,2025-05-06 12:00:00+0000
OBTUSDT,5e-05,2025-05-06 16:00:00+0000
OBTUSDT,5e-05,2025-05-06 20:00:00+0000
OBTUSDT,5e-05,2025-05-07 00:00:00+0000
OBTUSDT,5e-05,2025-05-07 04:00:00+0000
OBTUSDT,-0.00042081,2025-05-07 08:00:00+0000
OBTUSDT,-0.00062326,2025-05-07 12:00:00+0000
OBTUSDT,5e-05,2025-05-07 16:00:00+0000
OBTUSDT,-0.00167162,2025-05-07 20:00:00+0000
OBTUSDT,5e-05,2025-05-08 00:00:00+0000
OBTUSDT,5e-05,2025-05-08 04:00:00+0000
OBTUSDT,5e-05,2025-05-08 08:00:00+0000
OBTUSDT,5e-05,2025-05-08 12:00:00+0000
OBTUSDT,5e-05,2025-05-08 16:00:00+0000
OBTUSDT,5e-05,2025-05-08 20:00:00+0000
OBTUSDT,-9.609e-05,2025-05-09 00:00:00+0000
OBTUSDT,5e-05,2025-05-09 04:00:00+0000
OBTUSDT,5e-05,2025-05-09 08:00:00+0000
OBTUSDT,5e-05,2025-05-09 12:00:00+0000
OBTUSDT,5e-05,2025-05-09 16:00:00+0000
OBTUSDT,5e-05,2025-05-09 20:00:00+0000
OBTUSDT,5e-05,2025-05-10 00:00:00+0000
OBTUSDT,5e-05,2025-05-10 04:00:00+0000
OBTUSDT,5e-05,2025-05-10 08:00:00+0000
OBTUSDT,5e-05,2025-05-10 12:00:00+0000
OBTUSDT,5e-05,2025-05-10 16:00:00+0000
OBTUSDT,5e-05,2025-05-10 20:00:00+0000
OBTUSDT,5e-05,2025-05-11 00:00:00+0000
OBTUSDT,5e-05,2025-05-11 04:00:00+0000
OBTUSDT,5e-05,2025-05-11 08:00:00+0000
OBTUSDT,5e-05,2025-05-11 12:00:00+0000
OBTUSDT,5e-05,2025-05-11 16:00:00+0000
OBTUSDT,5e-05,2025-05-11 20:00:00+0000
OBTUSDT,5e-05,2025-05-12 00:00:00+0000
OBTUSDT,5e-05,2025-05-12 04:00:00+0000
OBTUSDT,5e-05,2025-05-12 08:00:00+0000
OBTUSDT,1.707e-05,2025-05-12 12:00:00+0000
OBTUSDT,5e-05,2025-05-12 16:00:00+0000
OBTUSDT,5e-05,2025-05-12 20:00:00+0000
OBTUSDT,5e-05,2025-05-13 00:00:00+0000
OBTUSDT,5e-05,2025-05-13 04:00:00+0000
OBTUSDT,5e-05,2025-05-13 08:00:00+0000
OBTUSDT,5e-05,2025-05-13 12:00:00+0000
OBTUSDT,5e-05,2025-05-13 16:00:00+0000
OBTUSDT,5e-05,2025-05-13 20:00:00+0000
OBTUSDT,-0.00055743,2025-05-14 00:00:00+0000
OBTUSDT,5e-05,2025-05-14 04:00:00+0000
OBTUSDT,5e-05,2025-05-14 08:00:00+0000
OBTUSDT,5e-05,2025-05-14 12:00:00+0000
OBTUSDT,5e-05,2025-05-14 16:00:00+0000
OBTUSDT,-0.0006662,2025-05-14 20:00:00+0000
OBTUSDT,-0.00017797,2025-05-15 00:00:00+0000
OBTUSDT,-0.00036089,2025-05-15 04:00:00+0000
OBTUSDT,-0.00014942,2025-05-15 08:00:00+0000
OBTUSDT,-0.00011069,2025-05-15 12:00:00+0000
OBTUSDT,5e-05,2025-05-15 16:00:00+0000
OBTUSDT,5e-05,2025-05-15 20:00:00+0000
OBTUSDT,-0.00036042,2025-05-16 00:00:00+0000
