symbol,fundingRate,fundingRateTimestamp
OGUSDT,0.0001,2023-08-28 16:00:00+0000
OGUSDT,-0.00128103,2023-08-29 00:00:00+0000
OGUSDT,-0.00139298,2023-08-29 08:00:00+0000
OGUSDT,4.74e-05,2023-08-29 16:00:00+0000
OGUSDT,0.0001,2023-08-30 00:00:00+0000
OGUSDT,0.0001,2023-08-30 08:00:00+0000
OGUSDT,0.0001,2023-08-30 16:00:00+0000
OGUSDT,0.0001,2023-08-31 00:00:00+0000
OGUSDT,0.0001,2023-08-31 08:00:00+0000
OGUSDT,0.0001,2023-08-31 16:00:00+0000
OGUSDT,0.0001,2023-09-01 00:00:00+0000
OGUSDT,0.0001,2023-09-01 08:00:00+0000
OGUSDT,0.0001,2023-09-01 16:00:00+0000
OGUSDT,0.0001,2023-09-02 00:00:00+0000
OGUSDT,0.0001,2023-09-02 08:00:00+0000
OGUSDT,0.0001,2023-09-02 16:00:00+0000
OGUSDT,-0.0033389,2023-09-03 00:00:00+0000
OGUSDT,-0.00370488,2023-09-03 08:00:00+0000
OGUSDT,-0.00050212,2023-09-03 16:00:00+0000
OGUSDT,0.0001,2023-09-04 00:00:00+0000
OGUSDT,0.0001,2023-09-04 08:00:00+0000
OGUSDT,0.0001,2023-09-04 16:00:00+0000
OGUSDT,0.0001,2023-09-05 00:00:00+0000
OGUSDT,6.13e-06,2023-09-05 08:00:00+0000
OGUSDT,0.0001,2023-09-05 16:00:00+0000
OGUSDT,0.00055892,2023-09-06 00:00:00+0000
OGUSDT,0.00035905,2023-09-06 08:00:00+0000
OGUSDT,0.00016089,2023-09-06 16:00:00+0000
OGUSDT,0.00068328,2023-09-07 00:00:00+0000
OGUSDT,0.00044476,2023-09-07 08:00:00+0000
OGUSDT,0.00031738,2023-09-07 16:00:00+0000
OGUSDT,0.0001,2023-09-08 00:00:00+0000
OGUSDT,0.00013995,2023-09-08 08:00:00+0000
OGUSDT,0.00024453,2023-09-08 16:00:00+0000
OGUSDT,0.00089253,2023-09-09 00:00:00+0000
OGUSDT,0.00180875,2023-09-09 08:00:00+0000
OGUSDT,0.00050916,2023-09-09 16:00:00+0000
OGUSDT,0.00091143,2023-09-10 00:00:00+0000
OGUSDT,0.00013823,2023-09-10 08:00:00+0000
OGUSDT,0.0001,2023-09-10 16:00:00+0000
OGUSDT,-0.00043519,2023-09-11 00:00:00+0000
OGUSDT,-0.00043119,2023-09-11 08:00:00+0000
OGUSDT,-0.00076468,2023-09-11 16:00:00+0000
OGUSDT,-0.00028633,2023-09-12 00:00:00+0000
OGUSDT,-0.00034358,2023-09-12 08:00:00+0000
OGUSDT,5.366e-05,2023-09-12 16:00:00+0000
OGUSDT,-0.00053602,2023-09-13 00:00:00+0000
OGUSDT,-0.00012895,2023-09-13 08:00:00+0000
OGUSDT,0.0001,2023-09-13 16:00:00+0000
OGUSDT,-0.00025529,2023-09-14 00:00:00+0000
OGUSDT,0.0001,2023-09-14 08:00:00+0000
OGUSDT,0.0001,2023-09-14 16:00:00+0000
OGUSDT,-9.657e-05,2023-09-15 00:00:00+0000
OGUSDT,0.0001,2023-09-15 08:00:00+0000
OGUSDT,0.0001,2023-09-15 16:00:00+0000
OGUSDT,3.535e-05,2023-09-16 00:00:00+0000
OGUSDT,0.0001,2023-09-16 08:00:00+0000
OGUSDT,0.0001,2023-09-16 16:00:00+0000
OGUSDT,0.0001,2023-09-17 00:00:00+0000
