symbol,fundingRate,fundingRateTimestamp
PUMPUSDT,5e-05,2025-04-11 12:00:00+0000
PUMPUSDT,5e-05,2025-04-11 16:00:00+0000
PUMPUSDT,5e-05,2025-04-11 20:00:00+0000
PUMPUSDT,5e-05,2025-04-12 00:00:00+0000
PUMPUSDT,5e-05,2025-04-12 04:00:00+0000
PUMPUSDT,5e-05,2025-04-12 08:00:00+0000
PUMPUSDT,5e-05,2025-04-12 12:00:00+0000
PUMPUSDT,5e-05,2025-04-12 16:00:00+0000
PUMPUSDT,5e-05,2025-04-12 20:00:00+0000
PUMPUSDT,5e-05,2025-04-13 00:00:00+0000
PUMPUSDT,5e-05,2025-04-13 04:00:00+0000
PUMPUSDT,5e-05,2025-04-13 08:00:00+0000
PUMPUSDT,5e-05,2025-04-13 12:00:00+0000
PUMPUSDT,5e-05,2025-04-13 16:00:00+0000
PUMPUSDT,5e-05,2025-04-13 20:00:00+0000
PUMPUSDT,5e-05,2025-04-14 00:00:00+0000
PUMPUSDT,5e-05,2025-04-14 04:00:00+0000
PUMPUSDT,5e-05,2025-04-14 08:00:00+0000
PUMPUSDT,5e-05,2025-04-14 12:00:00+0000
PUMPUSDT,5e-05,2025-04-14 16:00:00+0000
PUMPUSDT,5e-05,2025-04-14 20:00:00+0000
PUMPUSDT,5e-05,2025-04-15 00:00:00+0000
PUMPUSDT,5e-05,2025-04-15 04:00:00+0000
PUMPUSDT,5e-05,2025-04-15 08:00:00+0000
PUMPUSDT,5e-05,2025-04-15 12:00:00+0000
PUMPUSDT,5e-05,2025-04-15 16:00:00+0000
PUMPUSDT,5e-05,2025-04-15 20:00:00+0000
PUMPUSDT,5e-05,2025-04-16 00:00:00+0000
PUMPUSDT,5e-05,2025-04-16 04:00:00+0000
PUMPUSDT,5e-05,2025-04-16 08:00:00+0000
PUMPUSDT,5e-05,2025-04-16 12:00:00+0000
PUMPUSDT,5e-05,2025-04-16 16:00:00+0000
PUMPUSDT,5e-05,2025-04-16 20:00:00+0000
PUMPUSDT,5e-05,2025-04-17 00:00:00+0000
PUMPUSDT,5e-05,2025-04-17 04:00:00+0000
PUMPUSDT,5e-05,2025-04-17 08:00:00+0000
PUMPUSDT,5e-05,2025-04-17 12:00:00+0000
PUMPUSDT,5e-05,2025-04-17 16:00:00+0000
PUMPUSDT,5e-05,2025-04-17 20:00:00+0000
PUMPUSDT,5e-05,2025-04-18 00:00:00+0000
PUMPUSDT,3.202e-05,2025-04-18 04:00:00+0000
PUMPUSDT,5e-05,2025-04-18 08:00:00+0000
PUMPUSDT,5e-05,2025-04-18 12:00:00+0000
PUMPUSDT,5e-05,2025-04-18 16:00:00+0000
PUMPUSDT,5e-05,2025-04-18 20:00:00+0000
PUMPUSDT,5e-05,2025-04-19 00:00:00+0000
PUMPUSDT,5e-05,2025-04-19 04:00:00+0000
PUMPUSDT,5e-05,2025-04-19 08:00:00+0000
PUMPUSDT,5e-05,2025-04-19 12:00:00+0000
PUMPUSDT,5e-05,2025-04-19 16:00:00+0000
PUMPUSDT,5e-05,2025-04-19 20:00:00+0000
PUMPUSDT,5e-05,2025-04-20 00:00:00+0000
PUMPUSDT,5e-05,2025-04-20 04:00:00+0000
PUMPUSDT,5e-05,2025-04-20 08:00:00+0000
PUMPUSDT,5e-05,2025-04-20 12:00:00+0000
PUMPUSDT,5e-05,2025-04-20 16:00:00+0000
PUMPUSDT,5e-05,2025-04-20 20:00:00+0000
PUMPUSDT,5e-05,2025-04-21 00:00:00+0000
PUMPUSDT,5e-05,2025-04-21 04:00:00+0000
PUMPUSDT,5e-05,2025-04-21 08:00:00+0000
PUMPUSDT,5e-05,2025-04-21 12:00:00+0000
PUMPUSDT,5e-05,2025-04-21 16:00:00+0000
PUMPUSDT,5e-05,2025-04-21 20:00:00+0000
PUMPUSDT,5e-05,2025-04-22 00:00:00+0000
PUMPUSDT,7.799e-05,2025-04-22 04:00:00+0000
PUMPUSDT,3.475e-05,2025-04-22 08:00:00+0000
PUMPUSDT,5e-05,2025-04-22 12:00:00+0000
PUMPUSDT,5e-05,2025-04-22 16:00:00+0000
PUMPUSDT,5e-05,2025-04-22 20:00:00+0000
PUMPUSDT,5e-05,2025-04-23 00:00:00+0000
PUMPUSDT,0.00011333,2025-04-23 04:00:00+0000
PUMPUSDT,-0.00364012,2025-04-23 08:00:00+0000
PUMPUSDT,-0.00032738,2025-04-23 12:00:00+0000
PUMPUSDT,5e-05,2025-04-23 16:00:00+0000
PUMPUSDT,5e-05,2025-04-23 20:00:00+0000
PUMPUSDT,-2.898e-05,2025-04-24 00:00:00+0000
PUMPUSDT,-0.00233535,2025-04-24 04:00:00+0000
PUMPUSDT,-0.0051381,2025-04-24 08:00:00+0000
PUMPUSDT,-0.00265399,2025-04-24 12:00:00+0000
PUMPUSDT,-0.00138853,2025-04-24 16:00:00+0000
PUMPUSDT,-0.00105363,2025-04-24 20:00:00+0000
PUMPUSDT,-0.00103187,2025-04-25 00:00:00+0000
PUMPUSDT,-0.00027779,2025-04-25 04:00:00+0000
PUMPUSDT,5e-05,2025-04-25 08:00:00+0000
PUMPUSDT,5e-05,2025-04-25 12:00:00+0000
PUMPUSDT,-7.09e-06,2025-04-25 16:00:00+0000
PUMPUSDT,5e-05,2025-04-25 20:00:00+0000
PUMPUSDT,5e-05,2025-04-26 00:00:00+0000
PUMPUSDT,5e-05,2025-04-26 04:00:00+0000
PUMPUSDT,5e-05,2025-04-26 08:00:00+0000
PUMPUSDT,5e-05,2025-04-26 12:00:00+0000
PUMPUSDT,5e-05,2025-04-26 16:00:00+0000
PUMPUSDT,5e-05,2025-04-26 20:00:00+0000
PUMPUSDT,5e-05,2025-04-27 00:00:00+0000
PUMPUSDT,5e-05,2025-04-27 04:00:00+0000
