symbol,fundingRate,fundingRateTimestamp
RDNTUSDT,0.0001,2023-04-17 08:00:00+0000
RDNTUSDT,0.0001,2023-04-17 16:00:00+0000
RDNTUSDT,0.00034562,2023-04-18 00:00:00+0000
RDNTUSDT,0.00038018,2023-04-18 08:00:00+0000
RDNTUSDT,0.0001,2023-04-18 16:00:00+0000
RDNTUSDT,0.0001,2023-04-19 00:00:00+0000
RDNTUSDT,0.0001,2023-04-19 08:00:00+0000
RDNTUSDT,0.0001,2023-04-19 16:00:00+0000
RDNTUSDT,0.0001,2023-04-20 00:00:00+0000
RDNTUSDT,0.0001,2023-04-20 08:00:00+0000
RDNTUSDT,0.0001,2023-04-20 16:00:00+0000
RDNTUSDT,0.0001,2023-04-21 00:00:00+0000
RDNTUSDT,0.0001,2023-04-21 08:00:00+0000
RDNTUSDT,6.086e-05,2023-04-21 16:00:00+0000
RDNTUSDT,4.635e-05,2023-04-22 00:00:00+0000
RDNTUSDT,0.0001,2023-04-22 08:00:00+0000
RDNTUSDT,0.0001,2023-04-22 16:00:00+0000
RDNTUSDT,0.0001,2023-04-23 00:00:00+0000
RDNTUSDT,0.0001,2023-04-23 08:00:00+0000
RDNTUSDT,0.0001,2023-04-23 16:00:00+0000
RDNTUSDT,0.0001,2023-04-24 00:00:00+0000
RDNTUSDT,0.0001,2023-04-24 08:00:00+0000
RDNTUSDT,0.0001,2023-04-24 16:00:00+0000
RDNTUSDT,0.0001,2023-04-25 00:00:00+0000
RDNTUSDT,0.0001,2023-04-25 08:00:00+0000
RDNTUSDT,0.0001,2023-04-25 16:00:00+0000
RDNTUSDT,0.0001,2023-04-26 00:00:00+0000
RDNTUSDT,0.0001,2023-04-26 08:00:00+0000
RDNTUSDT,0.0001,2023-04-26 16:00:00+0000
RDNTUSDT,2.84e-05,2023-04-27 00:00:00+0000
RDNTUSDT,0.0001,2023-04-27 08:00:00+0000
RDNTUSDT,0.0001,2023-04-27 16:00:00+0000
RDNTUSDT,0.0001,2023-04-28 00:00:00+0000
RDNTUSDT,0.0001,2023-04-28 08:00:00+0000
RDNTUSDT,0.0001,2023-04-28 16:00:00+0000
RDNTUSDT,0.0001,2023-04-29 00:00:00+0000
RDNTUSDT,0.0001,2023-04-29 08:00:00+0000
RDNTUSDT,0.0001,2023-04-29 16:00:00+0000
RDNTUSDT,0.0001,2023-04-30 00:00:00+0000
RDNTUSDT,0.0001,2023-04-30 08:00:00+0000
RDNTUSDT,0.0001,2023-04-30 16:00:00+0000
RDNTUSDT,0.0001,2023-05-01 00:00:00+0000
RDNTUSDT,0.0001,2023-05-01 08:00:00+0000
RDNTUSDT,0.0001,2023-05-01 16:00:00+0000
