symbol,fundingRate,fundingRateTimestamp
RPLUSDT,0.0001,2023-03-01 08:00:00+0000
RPLUSDT,0.0001,2023-03-01 16:00:00+0000
RPLUSDT,0.0001,2023-03-02 00:00:00+0000
RPLUSDT,0.0001,2023-03-02 08:00:00+0000
RPLUSDT,0.0001,2023-03-02 16:00:00+0000
RPLUSDT,0.0001,2023-03-03 00:00:00+0000
RPLUSDT,0.0001,2023-03-03 08:00:00+0000
RPLUSDT,0.0001,2023-03-03 16:00:00+0000
RPLUSDT,0.0001,2023-03-04 00:00:00+0000
RPLUSDT,0.0001,2023-03-04 08:00:00+0000
RPLUSDT,0.0001,2023-03-04 16:00:00+0000
RPLUSDT,0.0001,2023-03-05 00:00:00+0000
RPLUSDT,0.0001,2023-03-05 08:00:00+0000
RPLUSDT,0.0001,2023-03-05 16:00:00+0000
RPLUSDT,0.0001,2023-03-06 00:00:00+0000
RPLUSDT,0.0001,2023-03-06 08:00:00+0000
RPLUSDT,0.0001,2023-03-06 16:00:00+0000
RPLUSDT,0.0001,2023-03-07 00:00:00+0000
RPLUSDT,0.0001,2023-03-07 08:00:00+0000
RPLUSDT,0.0001,2023-03-07 16:00:00+0000
RPLUSDT,0.0001,2023-03-08 00:00:00+0000
RPLUSDT,0.0001,2023-03-08 08:00:00+0000
RPLUSDT,0.0001,2023-03-08 16:00:00+0000
RPLUSDT,0.0001,2023-03-09 00:00:00+0000
RPLUSDT,1.602e-05,2023-03-09 08:00:00+0000
RPLUSDT,0.0001,2023-03-09 16:00:00+0000
RPLUSDT,0.0001,2023-03-10 00:00:00+0000
RPLUSDT,0.0001,2023-03-10 08:00:00+0000
RPLUSDT,0.0001,2023-03-10 16:00:00+0000
RPLUSDT,-0.00010276,2023-03-11 00:00:00+0000
RPLUSDT,-0.00059721,2023-03-11 08:00:00+0000
RPLUSDT,-0.0012204,2023-03-11 16:00:00+0000
RPLUSDT,-0.00048776,2023-03-12 00:00:00+0000
RPLUSDT,0.0001,2023-03-12 08:00:00+0000
RPLUSDT,-0.00155297,2023-03-12 16:00:00+0000
RPLUSDT,-0.00074532,2023-03-13 00:00:00+0000
RPLUSDT,0.0001,2023-03-13 08:00:00+0000
RPLUSDT,0.0001,2023-03-13 16:00:00+0000
RPLUSDT,0.0001,2023-03-14 00:00:00+0000
RPLUSDT,-0.00029983,2023-03-14 08:00:00+0000
RPLUSDT,-0.00015208,2023-03-14 16:00:00+0000
RPLUSDT,8.437e-05,2023-03-15 00:00:00+0000
RPLUSDT,-0.00012461,2023-03-15 08:00:00+0000
RPLUSDT,0.0001,2023-03-15 16:00:00+0000
RPLUSDT,0.0001,2023-03-16 00:00:00+0000
RPLUSDT,0.0001,2023-03-16 08:00:00+0000
RPLUSDT,-0.00078968,2023-03-16 16:00:00+0000
RPLUSDT,-0.0001257,2023-03-17 00:00:00+0000
RPLUSDT,-0.00134796,2023-03-17 08:00:00+0000
RPLUSDT,-0.00108268,2023-03-17 16:00:00+0000
RPLUSDT,-0.00088746,2023-03-18 00:00:00+0000
RPLUSDT,-0.0006804,2023-03-18 08:00:00+0000
RPLUSDT,-0.00037827,2023-03-18 16:00:00+0000
RPLUSDT,-0.00095451,2023-03-19 00:00:00+0000
RPLUSDT,-0.00076001,2023-03-19 08:00:00+0000
RPLUSDT,-0.00042823,2023-03-19 16:00:00+0000
RPLUSDT,-0.00019861,2023-03-20 00:00:00+0000
RPLUSDT,6.038e-05,2023-03-20 08:00:00+0000
RPLUSDT,-6.816e-05,2023-03-20 16:00:00+0000
RPLUSDT,0.0001,2023-03-21 00:00:00+0000
RPLUSDT,-0.00107889,2023-03-21 08:00:00+0000
RPLUSDT,-0.00033399,2023-03-21 16:00:00+0000
RPLUSDT,-0.00080783,2023-03-22 00:00:00+0000
RPLUSDT,-0.00072745,2023-03-22 08:00:00+0000
RPLUSDT,-0.00070598,2023-03-22 16:00:00+0000
RPLUSDT,3.413e-05,2023-03-23 00:00:00+0000
RPLUSDT,0.0001,2023-03-23 08:00:00+0000
RPLUSDT,0.0001,2023-03-23 16:00:00+0000
RPLUSDT,-0.00072736,2023-03-24 00:00:00+0000
RPLUSDT,-0.00077644,2023-03-24 08:00:00+0000
RPLUSDT,-0.00061315,2023-03-24 16:00:00+0000
RPLUSDT,-0.00036762,2023-03-25 00:00:00+0000
RPLUSDT,0.0001,2023-03-25 08:00:00+0000
RPLUSDT,-0.00074432,2023-03-25 16:00:00+0000
RPLUSDT,-0.00026818,2023-03-26 00:00:00+0000
RPLUSDT,-0.00044596,2023-03-26 08:00:00+0000
RPLUSDT,-0.00323508,2023-03-26 16:00:00+0000
RPLUSDT,-0.00332055,2023-03-27 00:00:00+0000
RPLUSDT,-0.0030504,2023-03-27 08:00:00+0000
RPLUSDT,-0.00244651,2023-03-27 16:00:00+0000
RPLUSDT,-0.000197,2023-03-28 00:00:00+0000
RPLUSDT,-0.00012022,2023-03-28 08:00:00+0000
RPLUSDT,-0.00446129,2023-03-28 16:00:00+0000
RPLUSDT,-0.00976716,2023-03-29 00:00:00+0000
RPLUSDT,-0.00747586,2023-03-29 08:00:00+0000
RPLUSDT,-0.00254402,2023-03-29 16:00:00+0000
RPLUSDT,-0.00145479,2023-03-30 00:00:00+0000
RPLUSDT,-0.00257074,2023-03-30 08:00:00+0000
RPLUSDT,-0.0008063,2023-03-30 16:00:00+0000
RPLUSDT,0.0001,2023-03-31 00:00:00+0000
RPLUSDT,-0.00076608,2023-03-31 08:00:00+0000
RPLUSDT,-0.0016887,2023-03-31 16:00:00+0000
