symbol,fundingRate,fundingRateTimestamp
SNXUSDT,-0.00011925,2023-01-01 00:00:00+0000
SNXUSDT,0.0001,2023-01-01 08:00:00+0000
SNXUSDT,0.0001,2023-01-01 16:00:00+0000
SNXUSDT,9.86e-06,2023-01-02 00:00:00+0000
SNXUSDT,3.257e-05,2023-01-02 08:00:00+0000
SNXUSDT,5.736e-05,2023-01-02 16:00:00+0000
SNXUSDT,2.652e-05,2023-01-03 00:00:00+0000
SNXUSDT,0.0001,2023-01-03 08:00:00+0000
SNXUSDT,8.61e-05,2023-01-03 16:00:00+0000
SNXUSDT,0.0001,2023-01-04 00:00:00+0000
SNXUSDT,0.0001,2023-01-04 08:00:00+0000
SNXUSDT,0.0001,2023-01-04 16:00:00+0000
SNXUSDT,0.0001,2023-01-05 00:00:00+0000
SNXUSDT,0.0001,2023-01-05 08:00:00+0000
SNXUSDT,0.0001,2023-01-05 16:00:00+0000
SNXUSDT,0.0001,2023-01-06 00:00:00+0000
SNXUSDT,9.81e-05,2023-01-06 08:00:00+0000
SNXUSDT,0.0001,2023-01-06 16:00:00+0000
SNXUSDT,0.0001,2023-01-07 00:00:00+0000
SNXUSDT,0.0001,2023-01-07 08:00:00+0000
SNXUSDT,-3.008e-05,2023-01-07 16:00:00+0000
SNXUSDT,0.0001,2023-01-08 00:00:00+0000
SNXUSDT,0.0001,2023-01-08 08:00:00+0000
SNXUSDT,0.0001,2023-01-08 16:00:00+0000
SNXUSDT,0.0001,2023-01-09 00:00:00+0000
SNXUSDT,5.227e-05,2023-01-09 08:00:00+0000
SNXUSDT,6.8e-07,2023-01-09 16:00:00+0000
SNXUSDT,-4.474e-05,2023-01-10 00:00:00+0000
SNXUSDT,-3.124e-05,2023-01-10 08:00:00+0000
SNXUSDT,2.644e-05,2023-01-10 16:00:00+0000
SNXUSDT,0.0001,2023-01-11 00:00:00+0000
SNXUSDT,0.0001,2023-01-11 08:00:00+0000
SNXUSDT,0.0001,2023-01-11 16:00:00+0000
SNXUSDT,8.93e-05,2023-01-12 00:00:00+0000
