symbol,fundingRate,fundingRateTimestamp
SPXUSDT,0.0001,2024-10-29 08:00:00+0000
SPXUSDT,-0.00052276,2024-10-29 16:00:00+0000
SPXUSDT,-0.00243316,2024-10-30 00:00:00+0000
SPXUSDT,-0.00099602,2024-10-30 08:00:00+0000
SPXUSDT,0.0001,2024-10-30 16:00:00+0000
SPXUSDT,-0.00201983,2024-10-31 00:00:00+0000
SPXUSDT,-0.00045484,2024-10-31 08:00:00+0000
SPXUSDT,-0.00369246,2024-10-31 16:00:00+0000
SPXUSDT,-0.00053505,2024-11-01 00:00:00+0000
SPXUSDT,-0.00309736,2024-11-01 08:00:00+0000
SPXUSDT,-0.00478641,2024-11-01 16:00:00+0000
SPXUSDT,-0.00081265,2024-11-02 00:00:00+0000
SPXUSDT,8.255e-05,2024-11-02 08:00:00+0000
SPXUSDT,-0.00101865,2024-11-02 16:00:00+0000
SPXUSDT,0.0001,2024-11-03 00:00:00+0000
SPXUSDT,-0.00402462,2024-11-03 08:00:00+0000
SPXUSDT,-0.00365845,2024-11-03 16:00:00+0000
SPXUSDT,-0.00050391,2024-11-04 00:00:00+0000
SPXUSDT,-0.0006886,2024-11-04 08:00:00+0000
SPXUSDT,-0.0008906,2024-11-04 16:00:00+0000
SPXUSDT,0.0001,2024-11-05 00:00:00+0000
SPXUSDT,0.0001,2024-11-05 08:00:00+0000
SPXUSDT,7.006e-05,2024-11-05 16:00:00+0000
SPXUSDT,-5.901e-05,2024-11-06 00:00:00+0000
SPXUSDT,0.0001,2024-11-06 08:00:00+0000
SPXUSDT,0.00013425,2024-11-06 16:00:00+0000
SPXUSDT,0.00022658,2024-11-07 00:00:00+0000
SPXUSDT,0.00031952,2024-11-07 08:00:00+0000
SPXUSDT,0.0001,2024-11-07 16:00:00+0000
SPXUSDT,0.00039654,2024-11-08 00:00:00+0000
SPXUSDT,0.0001,2024-11-08 08:00:00+0000
SPXUSDT,0.0001,2024-11-08 16:00:00+0000
SPXUSDT,0.00050759,2024-11-09 00:00:00+0000
SPXUSDT,0.0001,2024-11-09 08:00:00+0000
SPXUSDT,0.0001,2024-11-09 16:00:00+0000
SPXUSDT,0.00231452,2024-11-10 00:00:00+0000
