symbol,fundingRate,fundingRateTimestamp
SUSDT,0.00068269,2025-01-15 16:00:00+0000
SUSDT,0.00020511,2025-01-16 00:00:00+0000
SUSDT,0.0001,2025-01-16 08:00:00+0000
SUSDT,0.0001,2025-01-16 16:00:00+0000
SUSDT,0.0001,2025-01-17 00:00:00+0000
SUSDT,0.0001,2025-01-17 08:00:00+0000
SUSDT,0.0001,2025-01-17 16:00:00+0000
SUSDT,0.0001,2025-01-18 00:00:00+0000
SUSDT,0.0001,2025-01-18 08:00:00+0000
SUSDT,0.0001,2025-01-18 16:00:00+0000
SUSDT,0.0001,2025-01-19 00:00:00+0000
SUSDT,0.0001,2025-01-19 08:00:00+0000
SUSDT,0.0001,2025-01-19 16:00:00+0000
SUSDT,0.00010393,2025-01-20 00:00:00+0000
SUSDT,0.0001,2025-01-20 08:00:00+0000
SUSDT,0.0001,2025-01-20 16:00:00+0000
SUSDT,0.0001,2025-01-21 00:00:00+0000
SUSDT,0.0001,2025-01-21 08:00:00+0000
SUSDT,0.0001,2025-01-21 16:00:00+0000
SUSDT,0.0001,2025-01-22 00:00:00+0000
SUSDT,0.0001,2025-01-22 08:00:00+0000
SUSDT,0.0001,2025-01-22 16:00:00+0000
SUSDT,0.0001,2025-01-23 00:00:00+0000
SUSDT,0.0001,2025-01-23 08:00:00+0000
SUSDT,0.0001,2025-01-23 16:00:00+0000
SUSDT,0.0001,2025-01-24 00:00:00+0000
SUSDT,0.0001,2025-01-24 08:00:00+0000
SUSDT,0.0001,2025-01-24 16:00:00+0000
SUSDT,0.0001,2025-01-25 00:00:00+0000
SUSDT,0.0001,2025-01-25 08:00:00+0000
SUSDT,0.0001,2025-01-25 16:00:00+0000
SUSDT,0.0001,2025-01-26 00:00:00+0000
SUSDT,0.0001,2025-01-26 08:00:00+0000
SUSDT,0.0001,2025-01-26 16:00:00+0000
SUSDT,0.0001,2025-01-27 00:00:00+0000
SUSDT,0.0001,2025-01-27 08:00:00+0000
SUSDT,0.0001,2025-01-27 16:00:00+0000
SUSDT,0.0001,2025-01-28 00:00:00+0000
SUSDT,0.0001,2025-01-28 08:00:00+0000
SUSDT,0.0001,2025-01-28 16:00:00+0000
SUSDT,0.0001,2025-01-29 00:00:00+0000
SUSDT,0.0001,2025-01-29 08:00:00+0000
SUSDT,0.0001,2025-01-29 16:00:00+0000
SUSDT,0.0001,2025-01-30 00:00:00+0000
SUSDT,0.0001,2025-01-30 08:00:00+0000
SUSDT,0.0001,2025-01-30 16:00:00+0000
SUSDT,0.0001,2025-01-31 00:00:00+0000
SUSDT,0.0001,2025-01-31 08:00:00+0000
SUSDT,0.0001,2025-01-31 16:00:00+0000
SUSDT,0.0001,2025-02-01 00:00:00+0000
SUSDT,0.0001,2025-02-01 08:00:00+0000
SUSDT,0.0001,2025-02-01 16:00:00+0000
SUSDT,0.0001,2025-02-02 00:00:00+0000
SUSDT,0.0001,2025-02-02 08:00:00+0000
SUSDT,0.0001,2025-02-02 16:00:00+0000
SUSDT,0.0001,2025-02-03 00:00:00+0000
SUSDT,-0.00027085,2025-02-03 08:00:00+0000
SUSDT,-6.195e-05,2025-02-03 16:00:00+0000
SUSDT,0.0001,2025-02-04 00:00:00+0000
SUSDT,0.0001,2025-02-04 08:00:00+0000
SUSDT,-1.789e-05,2025-02-04 16:00:00+0000
SUSDT,1.142e-05,2025-02-05 00:00:00+0000
SUSDT,-8.28e-05,2025-02-05 08:00:00+0000
SUSDT,0.0001,2025-02-05 16:00:00+0000
SUSDT,4.413e-05,2025-02-06 00:00:00+0000
SUSDT,8.2e-07,2025-02-06 08:00:00+0000
SUSDT,-0.00015713,2025-02-06 16:00:00+0000
SUSDT,4.904e-05,2025-02-07 00:00:00+0000
SUSDT,-5.89e-05,2025-02-07 08:00:00+0000
SUSDT,0.0001,2025-02-07 16:00:00+0000
SUSDT,-0.00043989,2025-02-08 00:00:00+0000
SUSDT,0.0001,2025-02-08 08:00:00+0000
SUSDT,0.0001,2025-02-08 16:00:00+0000
SUSDT,7.455e-05,2025-02-09 00:00:00+0000
SUSDT,-9.3e-05,2025-02-09 08:00:00+0000
SUSDT,0.0001,2025-02-09 16:00:00+0000
SUSDT,7.396e-05,2025-02-10 00:00:00+0000
SUSDT,2.433e-05,2025-02-10 08:00:00+0000
SUSDT,0.0001,2025-02-10 16:00:00+0000
SUSDT,0.0001,2025-02-11 00:00:00+0000
SUSDT,0.0001,2025-02-11 08:00:00+0000
SUSDT,0.0001,2025-02-11 16:00:00+0000
SUSDT,0.0001,2025-02-12 00:00:00+0000
SUSDT,0.0001,2025-02-12 08:00:00+0000
SUSDT,0.0001,2025-02-12 16:00:00+0000
SUSDT,0.0001,2025-02-13 00:00:00+0000
SUSDT,0.0001,2025-02-13 08:00:00+0000
SUSDT,-0.00018402,2025-02-13 16:00:00+0000
SUSDT,0.0001,2025-02-14 00:00:00+0000
SUSDT,0.0001,2025-02-14 08:00:00+0000
SUSDT,0.0001,2025-02-14 16:00:00+0000
SUSDT,0.0001,2025-02-15 00:00:00+0000
SUSDT,2.454e-05,2025-02-15 08:00:00+0000
SUSDT,0.0001,2025-02-15 16:00:00+0000
SUSDT,0.0001,2025-02-16 00:00:00+0000
SUSDT,0.0001,2025-02-16 08:00:00+0000
SUSDT,0.0001,2025-02-16 16:00:00+0000
SUSDT,0.0001,2025-02-17 00:00:00+0000
SUSDT,0.0001,2025-02-17 08:00:00+0000
SUSDT,3.56e-06,2025-02-17 16:00:00+0000
SUSDT,0.0001,2025-02-18 00:00:00+0000
SUSDT,-0.00010296,2025-02-18 08:00:00+0000
SUSDT,0.0001,2025-02-18 16:00:00+0000
SUSDT,0.0001,2025-02-19 00:00:00+0000
SUSDT,0.0001,2025-02-19 08:00:00+0000
SUSDT,-0.0001362,2025-02-19 16:00:00+0000
SUSDT,7.475e-05,2025-02-20 00:00:00+0000
SUSDT,0.0001,2025-02-20 08:00:00+0000
SUSDT,-6.939e-05,2025-02-20 16:00:00+0000
SUSDT,7.207e-05,2025-02-21 00:00:00+0000
