symbol,fundingRate,fundingRateTimestamp
SWELLUSDT,-0.00160074,2024-11-07 16:00:00+0000
SWELLUSDT,-0.00245674,2024-11-08 00:00:00+0000
SWELLUSDT,-0.0011783,2024-11-08 08:00:00+0000
SWELLUSDT,-0.0007685,2024-11-08 16:00:00+0000
SWELLUSDT,-0.00191461,2024-11-09 00:00:00+0000
SWELLUSDT,-0.00159791,2024-11-09 08:00:00+0000
SWELLUSDT,-0.00356503,2024-11-09 16:00:00+0000
SWELLUSDT,-0.00064844,2024-11-10 00:00:00+0000
SWELLUSDT,-0.00024213,2024-11-10 08:00:00+0000
SWELLUSDT,0.0001,2024-11-10 16:00:00+0000
SWELLUSDT,-0.00146512,2024-11-11 00:00:00+0000
SWELLUSDT,0.0001,2024-11-11 08:00:00+0000
SWELLUSDT,-0.00121358,2024-11-11 16:00:00+0000
SWELLUSDT,-0.00032266,2024-11-12 00:00:00+0000
SWELLUSDT,2.808e-05,2024-11-12 08:00:00+0000
SWELLUSDT,-0.00038775,2024-11-12 16:00:00+0000
SWELLUSDT,0.0001,2024-11-13 00:00:00+0000
SWELLUSDT,-0.00142566,2024-11-13 08:00:00+0000
SWELLUSDT,0.0001,2024-11-13 16:00:00+0000
SWELLUSDT,0.0001,2024-11-14 00:00:00+0000
SWELLUSDT,-0.01005442,2024-11-14 08:00:00+0000
SWELLUSDT,0.0001,2024-11-14 16:00:00+0000
SWELLUSDT,0.0001,2024-11-15 00:00:00+0000
SWELLUSDT,0.0001,2024-11-15 08:00:00+0000
SWELLUSDT,0.00016227,2024-11-15 16:00:00+0000
SWELLUSDT,0.00025189,2024-11-16 00:00:00+0000
SWELLUSDT,0.00056631,2024-11-16 08:00:00+0000
SWELLUSDT,0.0008229,2024-11-16 16:00:00+0000
SWELLUSDT,0.00046491,2024-11-17 00:00:00+0000
SWELLUSDT,0.00031715,2024-11-17 08:00:00+0000
SWELLUSDT,0.00038007,2024-11-17 16:00:00+0000
SWELLUSDT,0.00039205,2024-11-18 00:00:00+0000
SWELLUSDT,0.00089394,2024-11-18 08:00:00+0000
SWELLUSDT,0.00069504,2024-11-18 16:00:00+0000
SWELLUSDT,0.00041847,2024-11-19 00:00:00+0000
SWELLUSDT,0.00037801,2024-11-19 08:00:00+0000
SWELLUSDT,0.00035471,2024-11-19 16:00:00+0000
SWELLUSDT,0.00058195,2024-11-20 00:00:00+0000
SWELLUSDT,0.00031646,2024-11-20 08:00:00+0000
SWELLUSDT,0.00029498,2024-11-20 16:00:00+0000
SWELLUSDT,0.0001,2024-11-21 00:00:00+0000
SWELLUSDT,0.00025627,2024-11-21 08:00:00+0000
SWELLUSDT,0.00041216,2024-11-21 16:00:00+0000
SWELLUSDT,0.00064003,2024-11-22 00:00:00+0000
SWELLUSDT,0.0004516,2024-11-22 08:00:00+0000
SWELLUSDT,0.00045057,2024-11-22 16:00:00+0000
SWELLUSDT,0.00049443,2024-11-23 00:00:00+0000
SWELLUSDT,0.00071962,2024-11-23 08:00:00+0000
SWELLUSDT,0.00095347,2024-11-23 16:00:00+0000
SWELLUSDT,0.00079384,2024-11-24 00:00:00+0000
SWELLUSDT,0.00068127,2024-11-24 08:00:00+0000
SWELLUSDT,0.00016685,2024-11-24 16:00:00+0000
SWELLUSDT,0.0006473,2024-11-25 00:00:00+0000
SWELLUSDT,0.00070688,2024-11-25 08:00:00+0000
SWELLUSDT,0.00056432,2024-11-25 16:00:00+0000
SWELLUSDT,0.00030724,2024-11-26 00:00:00+0000
