symbol,type,side,units,entry_price,entry_timestamp,exit_price,exit_timestamp,realized_pnl,is_closed
MAGICUSDT,linear,short,923.1905465288036,0.5416,2025-01-08 00:00:00+00:00,0.3178,2025-01-29 00:00:00+00:00,206.61004431314618,True
MAGICUSDT,spot,long,921.9988936013277,0.5423,2025-01-08 00:00:00+00:00,0.319,2025-01-29 00:00:00+00:00,-205.8823529411765,True
PAXGUSDT,linear,short,0.18711039336431226,2676.0,2025-01-15 00:00:00+00:00,2746.0,2025-01-22 00:00:00+00:00,-13.097727535501859,True
PAXGUSDT,spot,long,0.18711039336431226,2676.0,2025-01-15 00:00:00+00:00,2744.0,2025-01-22 00:00:00+00:00,12.723506748773234,True
MAGICUSDT,linear,short,2146.159416145374,0.2348,2025-02-19 00:00:00+00:00,0.1389,2025-03-12 00:00:00+00:00,205.8166880083414,True
MAGICUSDT,spot,long,2134.342358792604,0.2361,2025-02-19 00:00:00+00:00,0.1392,2025-03-12 00:00:00+00:00,-206.81777456700337,True
FBUSDT,linear,short,438.6218984056992,1.149,2025-02-26 00:00:00+00:00,1.137,2025-03-05 00:00:00+00:00,5.263462780868395,True
FBUSDT,spot,long,903.0219696616168,0.5581,2025-02-26 00:00:00+00:00,0.5581,2025-03-05 00:00:00+00:00,0.0,True
MAGICUSDT,linear,short,3368.799664025134,0.1517,2025-03-19 00:00:00+00:00,0.1149,2025-04-02 00:00:00+00:00,123.97182763612493,True
MAGICUSDT,spot,long,3371.021827391905,0.1516,2025-03-19 00:00:00+00:00,0.1062,2025-04-02 00:00:00+00:00,-153.04439096359252,True
MAGICUSDT,linear,short,4333.158673345606,0.1149,2025-04-09 00:00:00+00:00,0.1149,2025-04-16 00:00:00+00:00,0.0,True
MAGICUSDT,spot,long,7268.3201688673,0.0685,2025-04-09 00:00:00+00:00,0.0712,2025-04-16 00:00:00+00:00,19.624464455941666,True
