symbol,spotSymbol
1000000BABYDOGEUSDT,1000000BABYDOGEUSDT
1000000CHEEMSUSDT,1000000CHEEMSUSDT
1000000MOGUSDT,1000000MOGUSDT
1000000PEIPEIUSDT,1000000PEIPEIUSDT
10000COQUSDT,10000COQUSDT
10000ELONUSDT,10000ELONUSDT
10000LADYSUSDT,10000LADYSUSDT
10000QUBICUSDT,10000QUBICUSDT
10000SATSUSDT,10000SATSUSDT
10000WENUSDT,10000WENUSDT
10000WHYUSDT,10000WHYUSDT
1000APUUSDT,1000APUUSDT
1000BONKPERP,1000BONKUSDC
1000BONKUSDT,1000BONKUSDT
1000BTTUSDT,1000BTTUSDT
1000CATSUSDT,1000CATSUSDT
1000CATUSDT,1000CATUSDT
1000FLOKIUSDT,1000FLOKIUSDT
1000LUNCUSDT,1000LUNCUSDT
1000MUMUUSDT,1000MUMUUSDT
1000NEIROCTOUSDT,1000NEIROCTOUSDT
1000PEPEPERP,1000PEPEUSDC
1000PEPEUSDT,1000PEPEUSDT
1000RATSUSDT,1000RATSUSDT
1000TOSHIUSDT,1000TOSHIUSDT
1000TURBOUSDT,1000TURBOUSDT
1000XECUSDT,1000XECUSDT
1000XUSDT,1000XUSDT
1INCHUSDT,1INCHUSDT
A8USDT,A8USDT
AAVEPERP,AAVEUSDC
AAVEUSDT,AAVEUSDT
ACEUSDT,ACEUSDT
ACHUSDT,ACHUSDT
ACTUSDT,ACTUSDT
ACXUSDT,ACXUSDT
ADAUSDT,ADAUSDT
AERGOUSDT,AERGOUSDT
AEROUSDT,AEROUSDT
AEVOPERP,AEVOUSDC
AEVOUSDT,AEVOUSDT
AGIUSDT,AGIUSDT
AGLDUSDT,AGLDUSDT
AI16ZUSDT,AI16ZUSDT
AIOZUSDT,AIOZUSDT
AIUSDT,AIUSDT
AIXBTUSDT,AIXBTUSDT
AKTUSDT,AKTUSDT
ALCHUSDT,ALCHUSDT
ALEOUSDT,ALEOUSDT
ALGOUSDT,ALGOUSDT
ALICEUSDT,ALICEUSDT
ALPHAUSDT,ALPHAUSDT
ALTUSDT,ALTUSDT
ALUUSDT,ALUUSDT
ANIMEUSDT,ANIMEUSDT
ANKRUSDT,ANKRUSDT
APEUSDT,APEUSDT
API3USDT,API3USDT
APTUSDT,APTUSDT
ARBPERP,ARBUSDC
ARBUSDT,ARBUSDT
ARCUSDT,ARCUSDT
ARKMUSDT,ARKMUSDT
ARKUSDT,ARKUSDT
ARPAUSDT,ARPAUSDT
ARUSDT,ARUSDT
ASTRUSDT,ASTRUSDT
ATAUSDT,ATAUSDT
ATHUSDT,ATHUSDT
ATOMUSDT,ATOMUSDT
AUCTIONUSDT,AUCTIONUSDT
AUDIOUSDT,AUDIOUSDT
AVAAIUSDT,AVAAIUSDT
AVAILUSDT,AVAILUSDT
AVAUSDT,AVAUSDT
AVAXUSDT,AVAXUSDT
AVLUSDT,AVLUSDT
AXLUSDT,AXLUSDT
AXSUSDT,AXSUSDT
B3USDT,B3USDT
BABYUSDT,BABYUSDT
BADGERUSDT,BADGERUSDT
BAKEUSDT,BAKEUSDT
BALUSDT,BALUSDT
BANANAS31USDT,BANANAS31USDT
BANANAUSDT,BANANAUSDT
BANDUSDT,BANDUSDT
BANKUSDT,BANKUSDT
BANUSDT,BANUSDT
BATUSDT,BATUSDT
BBUSDT,BBUSDT
BCHPERP,BCHUSDC
BCHUSDT,BCHUSDT
BEAMUSDT,BEAMUSDT
BELUSDT,BELUSDT
BERAUSDT,BERAUSDT
BICOUSDT,BICOUSDT
BIGTIMEUSDT,BIGTIMEUSDT
BIOUSDT,BIOUSDT
BLASTUSDT,BLASTUSDT
BLURUSDT,BLURUSDT
BMTUSDT,BMTUSDT
BNBPERP,BNBUSDC
BNBUSDT,BNBUSDT
BNTUSDT,BNTUSDT
BOBAUSDT,BOBAUSDT
BOMEUSDT,BOMEUSDT
BRETTUSDT,BRETTUSDT
BROCCOLIUSDT,BROCCOLIUSDT
BRUSDT,BRUSDT
BSVUSDT,BSVUSDT
BSWUSDT,BSWUSDT
BTCPERP,BTCUSDC
BTCUSDT,BTCUSDT
C98USDT,C98USDT
CAKEUSDT,CAKEUSDT
CARVUSDT,CARVUSDT
CATIUSDT,CATIUSDT
CELOUSDT,CELOUSDT
CELRUSDT,CELRUSDT
CETUSUSDT,CETUSUSDT
CFXUSDT,CFXUSDT
CGPTUSDT,CGPTUSDT
CHESSUSDT,CHESSUSDT
CHILLGUYUSDT,CHILLGUYUSDT
CHRUSDT,CHRUSDT
CHZUSDT,CHZUSDT
CKBUSDT,CKBUSDT
CLANKERUSDT,CLANKERUSDT
CLOUDUSDT,CLOUDUSDT
COMPUSDT,COMPUSDT
COOKIEUSDT,COOKIEUSDT
COOKUSDT,COOKUSDT
COREUSDT,COREUSDT
COSUSDT,COSUSDT
COTIUSDT,COTIUSDT
COWUSDT,COWUSDT
CPOOLUSDT,CPOOLUSDT
CROUSDT,CROUSDT
CRVPERP,CRVUSDC
CRVUSDT,CRVUSDT
CTCUSDT,CTCUSDT
CTKUSDT,CTKUSDT
CTSIUSDT,CTSIUSDT
CVCUSDT,CVCUSDT
CVXUSDT,CVXUSDT
CYBERUSDT,CYBERUSDT
DARKUSDT,DARKUSDT
DASHUSDT,DASHUSDT
DATAUSDT,DATAUSDT
DBRUSDT,DBRUSDT
DEEPUSDT,DEEPUSDT
DEGENUSDT,DEGENUSDT
DENTUSDT,DENTUSDT
DEXEUSDT,DEXEUSDT
DGBUSDT,DGBUSDT
DODOUSDT,DODOUSDT
DOGEPERP,DOGEUSDC
DOGEUSDT,DOGEUSDT
DOGSUSDT,DOGSUSDT
DOGUSDT,DOGUSDT
DOODUSDT,DOODUSDT
DOTPERP,DOTUSDC
DOTUSDT,DOTUSDT
DRIFTUSDT,DRIFTUSDT
DUCKUSDT,DUCKUSDT
DUSKUSDT,DUSKUSDT
DYDXUSDT,DYDXUSDT
DYMUSDT,DYMUSDT
EDUUSDT,EDUUSDT
EGLDUSDT,EGLDUSDT
EIGENUSDT,EIGENUSDT
ELXUSDT,ELXUSDT
ENAPERP,ENAUSDC
ENAUSDT,ENAUSDT
ENJUSDT,ENJUSDT
ENSUSDT,ENSUSDT
EOSUSDT,EOSUSDT
EPICUSDT,EPICUSDT
EPTUSDT,EPTUSDT
ETCPERP,ETCUSDC
ETCUSDT,ETCUSDT
ETHBTCUSDT,ETHBTCUSDT
ETHFIPERP,ETHFIUSDC
ETHFIUSDT,ETHFIUSDT
ETHPERP,ETHUSDC
ETHUSDT,ETHUSDT
ETHWUSDT,ETHWUSDT
FARTCOINUSDT,FARTCOINUSDT
FBUSDT,FBUSDT
FHEUSDT,FHEUSDT
FIDAUSDT,FIDAUSDT
FILUSDT,FILUSDT
FIOUSDT,FIOUSDT
FLMUSDT,FLMUSDT
FLOCKUSDT,FLOCKUSDT
FLOWUSDT,FLOWUSDT
FLRUSDT,FLRUSDT
FLUXUSDT,FLUXUSDT
